Season #	Series #	Episode title	Original air date	Nick prod. #
1	156	" Mario "	April30,2005	1001
2	157	" Fantasia Barrino "	May7,2005	1002
3	158	" Jesse McCartney "	May14,2005	1003
4	159	" JoJo "	May28,2005	1009
5	160	" Tyler Hilton "	June4,2005	1004
6	161	" Drake Bell "	June11,2005	1010
7	162	" Bow Wow "	unaired	1011
8	163	" Avril Lavigne "	June18,2005	1014
9	164	" Lil Romeo / B2K "	September10,2005	1013
10	165	" Ashlee Simpson "	September17,2005	1015
11	166	" Frankie J "	September24,2005	1016
12	167	"Morgan Smith"	October1,2005	1005
13	168	" Brooke Valentine "	October8,2005	1006
14	169	" American Hi-Fi "	October15,2005	1007
15	170	" Brie Larson "	unaired	1012
