Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3, 1984	Cleveland Browns	W 33-0	Kingdome	1–0	59,540
2	September 9, 1984	San Diego Chargers	W 31-17	Kingdome	2–0	61,314
3	September 16, 1984	at New England Patriots	L 23-38	Sullivan Stadium	2–1	43,140
4	September 23, 1984	Chicago Bears	W 38-9	Kingdome	3–1	61,520
5	September 30, 1984	at Minnesota Vikings	W 20–12	Hubert H. Humphrey Metrodome	4–1	57,171
6	October 7, 1984	at Los Angeles Raiders	L 14-28	Los Angeles Memorial Coliseum	4–2	77,904
7	October 14, 1984	Buffalo Bills	W 31-28	Kingdome	5–2	59,034
8	October 21, 1984	at Green Bay Packers	W 30-24	Lambeau Field	6–2	52,286
9	October 29, 1984	at San Diego Chargers	W 24-0	Jack Murphy Stadium	7–2	53,974
10	November 4, 1984	Kansas City Chiefs	W 45-0	Kingdome	8–2	61,396
11	November 12, 1984	Los Angeles Raiders	W 17-14	Kingdome	9–2	64,001
12	November 18, 1984	at Cincinnati Bengals	W 26-6	Riverfront Stadium	10–2	50,280
13	November 25, 1984	at Denver Broncos	W 27-24	Mile High Stadium	11–2	74,922
14	December 2, 1984	Detroit Lions	W 38-17	Kingdome	12–2	62,441
15	December 9, 1984	at Kansas City Chiefs	L 7-34	Arrowhead Stadium	12–3	34,855
16	December 15, 1984	Denver Broncos	L 14-31	Kingdome	12–4	64,411
