Place	Player	Country	Score	To par	Money ( £ )
1	Justin Leonard	United States	69-66-72-65=272	–12	250,000
T2	Darren Clarke	Northern Ireland	67-66-71-71=275	–9	150,000
T2	Jesper Parnevik	Sweden	70-66-66-73=275	–9	150,000
4	Jim Furyk	United States	67-72-70-70=279	–5	90,000
T5	Pádraig Harrington	Ireland	75-69-69-67=280	–4	62,500
T5	Stephen Ames	Trinidad and Tobago	74-69-66-71=280	–4	62,500
T7	Peter O'Malley	Australia	73-70-70-68=281	–3	40,667
T7	Eduardo Romero	Argentina	74-68-67-72=281	–3	40,667
T7	Fred Couples	United States	69-68-70-74=281	–3	40,667
T10	Davis Love III	United States	70-71-74-67=282	–2	24,300
T10	Retief Goosen	South Africa	75-69-70-68=282	–2	24,300
T10	Frank Nobilo	New Zealand	74-72-68-68=282	–2	24,300
T10	Tom Kite	United States	72-67-74-69=282	–2	24,300
T10	Mark Calcavecchia	United States	74-67-72-69=282	–2	24,300
T10	Shigeki Maruyama	Japan	74-69-70-69=282	–2	24,300
T10	Ernie Els	South Africa	75-69-69-69=282	–2	24,300
T10	Tom Watson	United States	71-70-70-71=282	–2	24,300
T10	Robert Allenby	Australia	76-68-66-72=282	–2	24,300
T10	Lee Westwood	England	73-70-67-72=282	–2	24,300
