Season	Team Name	Games	Losses	Points
1965	Coquitlam Adanacs	30	18	24
1966	Coquitlam Adanacs	30	11	38
1967	Coquitlam Adanacs	30	15	29
1968	Portland Adanacs	38	14	48
1969	Coquitlam Adanacs	29	3	52
1970	Coquitlam Adanacs	30	16	28
1971	Coquitlam Adanacs	31	12	37
1972	Coquitlam Adanacs	36	23	18
1973	Coquitlam Adanacs	25	9	32
1974	Coquitlam Adanacs	24	15	17
1975	Coquitlam Adanacs	24	16	16
1976	Coquitlam Adanacs	24	15	18
1977	Coquitlam Adanacs	24	13	22
1978	Coquitlam Adanacs	24	13	21
1979	Coquitlam Adanacs	30	12	35
1980	Coquitlam Adanacs	24	9	30
1981	Coquitlam Adanacs	24	7	34
1982	Coquitlam Adanacs	24	16	16
1983	Coquitlam Adanacs	24	14	20
1984	Coquitlam Adanacs	24	14	20
1985	Coquitlam Adanacs	24	10	28
1986	Coquitlam Adanacs	24	14	20
1987	Coquitlam Adanacs	24	11	26
1988	Coquitlam Adanacs	24	11	26
1989	Coquitlam Adanacs	24	13	22
1990	Coquitlam Adanacs	24	18	12
1991	Coquitlam Adanacs	24	6	36
1992	Coquitlam Adanacs	24	14	20
1993	Coquitlam Adanacs	23	6	34
1994	Coquitlam Adanacs	20	7	26
1995	Coquitlam Adanacs	25	11	25
1996	Coquitlam Adanacs	20	15	10
1997	Coquitlam Adanacs	20	10	19
1998	Coquitlam Adanacs	25	9	31
1999	Coquitlam Adanacs	25	7	36
2000	Coquitlam Adanacs	25	11	28
2001	Coquitlam Adanacs	20	8	24
2002	Coquitlam Adanacs	20	6	27
2003	Coquitlam Adanacs	20	3	34
2004	Coquitlam Adanacs	20	9	22
2005	Coquitlam Adanacs	18	4	27
2006	Coquitlam Adanacs	18	6	23
2007	Coquitlam Adanacs	18	7	20
2008	Coquitlam Adanacs	18	3	28
2009	Coquitlam Adanacs	18	9	18
Total	45 seasons	1,094	493	1,177
