Pick	Player	Country of origin*	PBA team	College
11	Sunday Salvacion #	Philippines	Barangay Ginebra Kings	St. Benilde
12	John Ferriols #	Philippines	FedEx Express	San Jose
13	Adonis Sta. Maria	Philippines	Shell Turbo Chargers	La Salle-Manila
14	Cyrus Baguio *	Philippines	Red Bull Thunder	UST
15	Eugene Tejada	United States	Sta. Lucia Realtors (traded to Alaska Aces )	Chabot
16	Ronald Tubid #	Philippines	Shell Turbo Chargers	East
17	Rysal Castro	Philippines	Red Bull Thunder	Far Eastern
18	Arnold Calo	Philippines	San Miguel Beermen	MLQU
19	Vincent San Diego	Philippines	Red Bull Thunder	La Salle-Manila
20	Leo Bat-Og	Philippines	Alaska Aces (traded to Sta. Lucia )	UNO-R
