Name in English	Name in Malay	Acronym	Foundation	Location
Alor Setar Professional Institute	Institut Profesional Alor Setar	—	—	Alor Setar
A. N. S. Technological Institute, Alor Setar	Institut Teknologi A. N. S. Alor Setar	—	—	Alor Setar
Bandar Darulaman Community College	Kolej Komuniti Bandar Darulaman	—	—	Jitra
Daya Ilmu Technological Institute, Sungai Petani	Institut Teknologi Daya Ilmu Sungai Petani	—	—	Sungai Petani
Hasani Institute	Institut Hasani	—	—	Sungai Petani
Informatics Institute, Sungai Petani	Institut Informatics, Sungai Petani	—	—	Sungai Petani
International Northern Higher Education Institute	Institut Pengajian Tinggi Utara Antarabangsa	—	PETUA	Alor Setar
Kulim Community College	Kolej Komuniti Kulim	—	—	Kulim
Kulim Polytechnic	Politeknik Kulim	PKU	—	Kulim
Northern Management and Technological Institute	Institut Pengurusan dan Teknologi Utara	—	IPTURA	Alor Setar
Sultan Abdul Halim Mu'adzam Shah	Politeknik Sultan Abdul Halim Mu'adzam Shah	POLIMAS	1984	Jitra
Sungai Petani Community College	Kolej Komuniti Sungai Petani	2002	KKSPE	Sungai Petani
