Entrant	Constructor	Chassis	Engine	Driver	Rounds
Maria Teresa de Filippis	Behra-Porsche - Porsche	RSK	Porsche 547/6 1.5 F4	Maria Teresa de Filippis	1
Dr Ing F. Porsche KG	Porsche	718 RSK 718/2	Porsche 547/6 1.5 F4	Wolfgang von Trips	1, 6
Equipe Nationale Belge	Cooper - Climax	T51	Climax FPF 1.5 L4	Lucien Bianchi	1
Equipe Nationale Belge	Cooper - Climax	T51	Climax FPF 1.5 L4	Alain de Changy	1
Jean Lucienbonnet	Cooper - Climax	T45	Climax FPF 1.5 L4	Jean Lucienbonnet	1
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Harry Schell	1, 3–8
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Jo Bonnier	1, 3–8
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Ron Flockhart	1, 4–5, 7–8
Cooper Car Company	Cooper - Climax	T51	Climax FPF 2.5 L4	Bruce McLaren	1, 4–9
Cooper Car Company	Cooper - Climax	T51	Climax FPF 2.5 L4	Jack Brabham	1, 3–9
Cooper Car Company	Cooper - Climax	T51	Climax FPF 2.5 L4	Masten Gregory	1, 3–7
Cooper Car Company	Cooper - Climax	T51	Climax FPF 2.5 L4	Giorgio Scarlatti	8
R.R.C. Walker Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	Stirling Moss	1, 3, 6–9
R.R.C. Walker Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	Maurice Trintignant	1, 3–9
British Racing Partnership	Cooper - Climax	T51	Climax FPF 1.5 L4	Ivor Bueb	1
British Racing Partnership	BRM	P25	BRM P25 2.5 L4	Stirling Moss	4–5
British Racing Partnership	BRM	P25	BRM P25 2.5 L4	Hans Herrmann	6
British Racing Partnership	Cooper - Borgward	T51	Borgward 1500 RS 1.5 L4	Ivor Bueb	5
British Racing Partnership	Cooper - Borgward	T51	Borgward 1500 RS 1.5 L4	Chris Bristow	5
High Efficiency Motors	Cooper - Maserati	T45	Maserati 250S 2.5 L4	Roy Salvadori	1, 4, 9
High Efficiency Motors	Cooper - Maserati	T45	Maserati 250S 2.5 L4	Jack Fairman	8
High Efficiency Motors	Cooper - Climax	T45	Climax FPF 2.5 L4	Jack Fairman	5
Team Lotus	Lotus - Climax	16	Climax FPF 2.5 L4	Graham Hill	1, 3–8
Team Lotus	Lotus - Climax	16	Climax FPF 2.5 L4	Pete Lovely	1
Team Lotus	Lotus - Climax	16	Climax FPF 2.5 L4	Innes Ireland	3–4, 6–9
Team Lotus	Lotus - Climax	16	Climax FPF 2.5 L4	Alan Stacey	5, 9
John Fisher	Lotus - Climax	16	Climax FPF 1.5 L4	Bruce Halford	1
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Jean Behra	1, 3–4
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Phil Hill	1, 3–4, 6–9
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Tony Brooks	1, 3–4, 6–9
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Cliff Allison	1, 3, 6, 8–9
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Olivier Gendebien	4, 8
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Dan Gurney	4, 6–8
Scuderia Ferrari	Ferrari	246 156	Ferrari 155 2.4 V6 Ferrari D156 1.5 V6	Wolfgang von Trips	9
Scuderia Ugolini	Maserati	250F	Maserati 250F1 2.5 L6	Giorgio Scarlatti	1, 4
Scuderia Ugolini	Maserati	250F	Maserati 250F1 2.5 L6	Carel Godin de Beaufort	4
Monte Carlo Auto Sport	Maserati	250F	Maserati 250F1 2.5 L6	André Testut	1
David Brown Corporation	Aston Martin	DBR4	Aston Martin RB6 2.5 L6	Roy Salvadori	3, 5, 7–8
David Brown Corporation	Aston Martin	DBR4	Aston Martin RB6 2.5 L6	Carroll Shelby	3, 5, 7–8
Ecurie Maarsbergen	Porsche	718 RSK	Porsche 547/6 1.5 F4	Carel Godin de Beaufort	3
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	Ian Burgess	4–6, 8
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	Colin Davis	4, 8
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	Hans Herrmann	5
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	Mario Araujo de Cabral	7
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Asdrúbal Fontes Bayardo	4
Scuderia Centro Sud	Maserati	250F	Maserati 250F1 2.5 L6	Fritz d'Orey	4–5
Vandervell Products	Vanwall	VW 59	Vanwall 254 2.5 L4	Tony Brooks	5
J.B. Naylor	JBW - Maserati	59	Maserati 250S 2.5 L4	Brian Naylor	5
Ace Garage – Rotherham	Cooper - Climax	T51	Climax FPF 1.5 L4	Trevor Taylor	5
Alan Brown Equipe	Cooper - Climax	T45	Climax FPF 1.5 L4	Mike Taylor	5
Alan Brown Equipe	Cooper - Climax	T45	Climax FPF 1.5 L4	Peter Ashdown	5
Gilby Engineering	Cooper - Climax	T45	Climax FPF 1.5 L4	Keith Greene	5
United Racing Stable	Cooper - Climax	T51	Climax FPF 1.5 L4	Bill Moss	5
R.H.H. Parnell	Cooper - Climax	T51 T45	Climax FPF 1.5 L4	Henry Taylor	5
R.H.H. Parnell	Cooper - Climax	T51 T45	Climax FPF 1.5 L4	Tim Parnell	5
David Fry	Fry - Climax	F2	Climax FPF 1.5 L4	Mike Parkes	5
Dennis Taylor	Lotus - Climax	12	Climax FPF 1.5 L4	Dennis Taylor	5
Dorchester Service Station	Lotus - Climax	16	Climax FPF 1.5 L4	David Piper	5
Jean Behra	Behra-Porsche - Porsche	RSK	Porsche 547/6 1.5 F4	Jean Behra	6
Ottorino Volonterio	Maserati	250F	Maserati 250F1 2.5 L6	Giulio Cabianca	8
Leader Cards Inc.	Kurtis Kraft - Offenhauser	Midget	Offenhauser 1.7 L4	Rodger Ward	9
OSCA Automobili	Cooper - OSCA	T43	OSCA 2.0 L4	Alejandro de Tomaso	9
Camoradi USA	Tec-Mec - Maserati	F415	Maserati 250F1 2.5 L6	Fritz d'Orey	9
Taylor-Crawley Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	George Constantine	9
Blanchard Automobile Co.	Porsche	718 RSK	Porsche 547/6 1.5 F4	Harry Blanchard	9
Connaught Cars - Paul Emery	Connaught - Alta	C	Alta GP 2.5 L4	Bob Said	9
Ecurie Bleue	Cooper - Climax	T51	Climax FPF 2.5 L4	Harry Schell	9
Phil Cade	Maserati	250F	Maserati 250F1 2.5 L6	Phil Cade	9
