Name	League	FA Cup	League Cup	Other	Total
Andy Morrell Category:Articles with hCards	16	3	0	1	20
Keigan Parker Category:Articles with hCards	13	1	0	2	16
Scott Vernon Category:Articles with hCards	11	1	2	0	14
Wes Hoolahan Category:Articles with hCards	8	1	0	1	10
Shaun Barker Category:Articles with hCards	3	1	0	2	6
Keith Southern Category:Articles with hCards	5	0	0	1	6
Ben Burgess Category:Articles with hCards	2	1	0	2	5
Robbie Williams Category:Articles with hCards	4	0	0	1	5
David Fox Category:Articles with hCards	4	0	0	0	4
Chris Brandon Category:Articles with hCards	2	0	0	0	2
Simon Gillett Category:Articles with hCards	1	0	0	1	2
Michael Jackson Category:Articles with hCards	1	1	0	0	2
Claus Bech Jørgensen Category:Articles with hCards	2	0	0	0	2
Ian Evatt Category:Articles with hCards	0	1	0	0	1
Adrian Forbes Category:Articles with hCards	1	0	0	0	1
Danny Graham Category:Articles with hCards	1	0	0	0	1
