Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	17 May 1999	St. Pölten , Austria	Clay	Brent Haygarth	Andrew Florent Andrei Olhovskiy	7–5, 4–6, 5–7
Runner-up	7 February 2000	Dubai , UAE	Hard	Peter Tramacchi	Jiří Novák David Rikl	2–6, 5–7
Runner-up	11 September 2000	Tashkent , Uzbekistan	Hard	Marius Barnard	Justin Gimelstob Scott Humphries	3–6, 2–6
Runner-up	17 September 2001	Shanghai , China	Hard	John-Laffnie de Jager	Byron Black Thomas Shimada	2–6, 6–3, 5–7
Runner-up	25 February 2002	San Jose , U.S.	Hard	John-Laffnie de Jager	Wayne Black Kevin Ullyett	3–6, 6–4, [5–10]
Winner	22 July 2002	Kitzbühel , Austria	Clay	Thomas Shimada	Lucas Arnold Ker Álex Corretja	7–6(3), 6–4
Winner	9 September 2002	Tashkent , Uzbekistan	Hard	David Adams	Raemon Sluiter Martin Verkerk	6–2, 7–5
Winner	6 January 2003	Auckland , New Zealand	Hard	David Adams	Tomáš Cibulec Leoš Friedl	7–6(5), 3–6, 6–3
Runner-up	21 April 2003	Barcelona , Spain	Clay	Chris Haggard	Bob Bryan Mike Bryan	4–6, 3–6
Winner	18 August 2003	Long Island , U.S.	Hard	Martín Rodríguez	Martin Damm Cyril Suk	6–3, 7–6(4)
Winner	16 August 2004	Washington , U.S.	Hard	Chris Haggard	Travis Parrott Dmitry Tursunov	7–6(3), 6–1
