Player	No.	Nationality	Position	Years for Grizzlies	School/Club Team
Mahmoud Abdul-Rauf Category:Articles with hCards	1	United States	Point guard	2000-2001	LSU
Shareef Abdur-Rahim Category:Articles with hCards	3	United States	Forward	1996-2001	California
Tony Allen Category:Articles with hCards	9	United States	Guard	2010–present	Oklahoma State
Ashraf Amaya Category:Articles with hCards	18	United States	Small forward	1995-1996	Southern Illinois
Nick Anderson Category:Articles with hCards	5	United States	Guard/Forward	2001-2002	Illinois
Greg Anthony Category:Articles with hCards	2	United States	Point guard	1995-1997	UNLV
Robert Archibald Category:Articles with hCards	21	Scotland	Forward/Center	2002-2003	Illinois
Gilbert Arenas Category:Articles with hCards	10	United States	Guard	2012	Arizona
Darrell Arthur Category:Articles with hCards	00	United States	Forward	2009-2013	Kansas
Chucky Atkins Category:Articles with hCards	32 (3 in '06-'07)	United States	Point guard	2006-2007	South Florida
Isaac Austin Category:Articles with hCards	9	United States	Center	2000-2002	Arizona State
