Year	Competition	Venue	Position	Notes
2007	European U23 Championships	Debrecen , Hungary	9th	63.74 m
2008	European Winter Throwing Cup	Split , Croatia	1st	71.84 m
2008	Olympic Games	Beijing , China	6th	71.56 m
2008	World Athletics Final	Stuttgart , Germany	3rd	70.97 m
2009	European Team Championships	Leiria , Portugal	1st	75.23 m
2009	World Championships	Berlin , Germany	1st	77.96 m
2010	European Championships	Barcelona , Spain	3rd	73.56 m
2011	World Championships	Daegu, South Korea	5th	73.56 m
2012	European Championships	Helsinki, Finland	1st	74.29 m
2012	Olympic Games	London , United Kingdom	2nd	77.60 m
2013	World Championships	Moscow, Russia	2nd	78.46 m
