Club	Total points	Bonus points	Match points	Games	Drawn	Lost	Points for	Points against	Diff
Club	Total points	Bonus points	Match points	Games	Drawn	Lost	Points for	Points against	Diff
Racing Métro	107	11	96	30	0	6	754	469	+285
Agen	94	10	84	30	0	9	799	543	+256
Albi	87	7	80	30	2	9	569	493	+76
La Rochelle	87	15	72	30	0	12	647	499	+148
Oyonnax	85	11	74	30	1	11	605	438	+167
Lyon	84	14	72	30	1	12	600	448	+152
Tarbes	73	11	62	30	1	14	602	534	+68
Pau	72	10	62	30	1	14	523	507	+16
Aurillac	72	6	66	30	1	13	615	653	−38
Grenoble	60	14	46	30	1	18	416	469	−53
Bordeaux-Bègles	60	8	52	30	0	17	591	639	−48
Auch	53	9	44	30	0	19	416	533	−117
Narbonne	49	7	42	30	3	18	494	672	−178
Colomiers	47	7	40	30	2	19	541	679	−138
Bourg-en-Bresse	43	9	34	30	1	21	507	813	−306
Béziers	41	5	36	30	2	20	465	755	−290
