Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Granada CF	30	40	17	6	7	42	20	+22
2	CF Calvo Sotelo	30	39	17	5	8	46	24	+22
3	CD Alcoyano	30	37	15	7	8	37	33	+4
4	RCD Mallorca	30	35	13	9	8	36	24	+12
5	Cádiz CF	30	33	13	7	10	37	30	+7
6	Real Murcia CF	30	32	10	12	8	31	23	+8
7	Atlético Ceuta	30	31	12	7	11	34	38	-4
8	CD Mestalla	30	30	14	2	14	47	31	+16
9	CD Tenerife	30	30	11	8	11	39	33	+6
10	CD Castellón	30	28	9	10	11	27	30	-3
11	Real Jaén CF	30	27	8	11	11	32	41	-9
12	Xerez CD	30	27	9	9	12	28	40	-12
13	Recreativo de Huelva	30	26	8	10	12	25	26	-1
14	Levante UD	30	25	7	11	12	26	37	-11
15	Hércules CF	30	25	11	3	16	40	41	-1
16	CD Constancia	30	15	5	5	20	19	75	-56
