Celebrity	Famous for	Entered	Exited	Finished
Matt Willis	Ex Busted member and TV presenter	Day 1	Day 19	1st
Myleene Klass	TV presenter, singer, model	Day 1	Day 19	2nd
Jason Donovan	Australian actor, singer	Day 1	Day 19	3rd
David Gest	American TV producer	Day 1	Day 18	4th
Dean Gaffney	Actor (played Robbie Jackson in EastEnders )	Day 5	Day 18	5th
Jan Leeming	Newsreader	Day 1	Day 17	6th
Malandra Burrows	Actress (played Kathy Glover in Emmerdale )	Day 6	Day 16	7th
Phina Oruche	Actress	Day 1	Day 15	8th
Lauren Booth	Model, journalist, younger sister of Cherie Booth	Day 1	Day 14	9th
Faith Brown	Impressionist, comedian	Day 1	Day 13	10th
Scott Henshall	Fashion model, designer	Day 1	Day 12	11th
Toby Anstis	Radio host	Day 1	Day 11	12th
