Year	Kansas	Nebraska	North Dakota	Oklahoma	South Dakota	Texas
Year	Kansas	Nebraska	North Dakota	Oklahoma	South Dakota	Texas
1952	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower
1956	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower	Eisenhower
1960	Nixon	Nixon	Nixon	Nixon	Nixon	Kennedy
1964	Johnson	Johnson	Johnson	Johnson	Johnson	Johnson
1968	Nixon	Nixon	Nixon	Nixon	Nixon	Humphrey
1972	Nixon	Nixon	Nixon	Nixon	Nixon	Nixon
1976	Ford	Ford	Ford	Ford	Ford	Carter
1980	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan
1984	Reagan	Reagan	Reagan	Reagan	Reagan	Reagan
1988	Bush	Bush	Bush	Bush	Bush	Bush
1992	Bush	Bush	Bush	Bush	Bush	Bush
1996	Dole	Dole	Dole	Dole	Dole	Dole
2000	Bush	Bush	Bush	Bush	Bush	Bush
2004	Bush	Bush	Bush	Bush	Bush	Bush
2008	McCain	McCain	McCain	McCain	McCain	McCain
2012	Romney	Romney	Romney	Romney	Romney	Romney
