Date	Location	Discipline	Winner	2nd place	3rd place
29.11.2008	Kuusamo , Finland	HS142 / 10km	Ronny Ackermann	Janne Ryynänen	Anssi Koivuranta
30.11.2008	Kuusamo , Finland	HS142 / 10km	Anssi Koivuranta	Janne Ryynänen	Daito Takahashi
06.12.2008	Trondheim , Norway	HS131 / 10km	Magnus Moan	Jason Lamy-Chappuis	Anssi Koivuranta
07.12.2008	Trondheim , Norway	HS131 / 10km	Anssi Koivuranta	Björn Kircheisen	Jason Lamy Chappuis
20.12.2008	Ramsau , Austria	HS98 / 10km	Bill Demong	Björn Kircheisen	Jan Schmid
21.12.2008	Ramsau , Austria	HS98 / 10km	Björn Kircheisen	Bill Demong	Jason Lamy Chappuis
27.12.2008	Oberhof , Germany	HS140 / 10km	Magnus Moan	Todd Lodwick	Anssi Koivuranta
28.12.2008	Oberhof , Germany	HS140 / 10km	Anssi Koivuranta	Todd Lodwick	Jason Lamy Chappuis
03.01.2009	Schonach , Germany	HS96 / 4 x 5km Team	Germany	Norway	Austria
04.01.2009	Schonach , Germany	HS96 / 10km	Anssi Koivuranta	Bill Demong	Björn Kircheisen
10.01.2009	Val di Fiemme , Italy	HS134 / 10km, Massstart	Björn Kircheisen	Bernhard Gruber	Jan Schmid
11.01.2009	Val di Fiemme , Italy	HS134 / 10km	Magnus Moan	Jan Schmid	Pavel Churavý
16.01.2009	Vancouver , Canada	HS140 / 10km	Bill Demong	Anssi Koivuranta	Björn Kircheisen
17.01.2009	Vancouver , Canada	HS140 / 10km	Magnus Moan	Björn Kircheisen	Bill Demong
31.01.2009	Chaux-Neuve , France	HS99 / 10km	Magnus Moan	Anssi Koivuranta	Björn Kircheisen
01.02.2009	Chaux-Neuve , France	HS99 / 10km	Anssi Koivuranta	Christoph Bieler	Magnus Moan
07.02.2009	Seefeld , Austria	HS100 / 10km	Mario Stecher	Jan Schmid	Lukas Klapfer
08.02.2009	Seefeld , Austria	HS100 / 10km	Magnus Moan	Mario Stecher	Anssi Koivuranta
14.02.2009	Klingenthal , Germany	HS140 / 10km	Anssi Koivuranta	Magnus Moan	Jan Schmid
15.02.2009	Klingenthal , Germany	HS140 / 10km	Bill Demong	Jason Lamy Chappuis	Pavel Churavy
06.03.2009	Lahti , Finland	HS130 / 10km	Bill Demong	Anssi Koivuranta	Jason Lamy Chappuis
07.03.2009	Lahti , Finland	HS130 / 10km	Magnus Moan	Anssi Koivuranta	Bill Demong
14.03.2009	Vikersund , Norway	HS117 / 10km	Anssi Koivuranta	Bill Demong	Magnus Moan
