Week 1	Week 2	Week 3	Week 4	Week 5
Jillian Beyor *	Danielle Richardson	Natasha Budhi	Jaye Meredith	Jennifer Lee
Jennifer Hurt *	Joey Mansfield	Veronica Tejeda	Miranda Janine	[Month Ended]
Daniella Bae	Marie Francis*	Kylie Jayde Anderson	Alexia Mason	[Month Ended]
Patrycja Mikula*	Nikki Fiction	Adriana	Gianna Lowe	Deanna McCarver
Cristal Camden	Shandie	Cherish Lee Crum	Stephanie Olson*	[Month Ended]
Carlotta Champagne	Jenna Jordan	Jo Garcia **	Laurena Lacey	[Month Ended]
Mallory Dylan*	Mary Karola	Tamika Curry	Danielle Carr	Jessica Jones
Yolanda Kurpiarz	Brie Anna*	Kimberlee Ann	Lindsay Saddler	[Month Ended]
Angi Mari Yangas	Meghan Allen*	Francessca Demarco	Maryann Murray	[Month Ended]
Debbi Davids	Amanda Hanshaw*	Sara Stokes	Caitlin Ferguson	Melany Denyse
Amanda Batt	April Ireland	Trina Marie*	Kristy Joe	[Month Ended]
Destiny White*	Erica Lee Chevillar	Adrianna Kroplewska	Ashley Lynn	Shelly Russel
