Date	Opponent#	Site	Result	Attendance
September 28	TCU	Ohio Stadium • Columbus, OH	L14-18	81,784
October 5	at Washington	Husky Stadium • Seattle, WA	W35-7	37,500
October 12	Illinois	Ohio Stadium • Columbus, OH	W21-7	82,239
October 19	Indiana	Ohio Stadium • Columbus, OH	W56-0	78,348
October 26	at Wisconsin	Camp Randall Stadium • Madison, WI	W16-13	51,051
November 2	Northwestern	Ohio Stadium • Columbus, OH	W47-6	79,635
November 9	Purdue	Ohio Stadium • Columbus, OH	W20-7	79,177
November 16	5 Iowa	Ohio Stadium • Columbus, OH	W17-13	82,935
November 23	at 19 Michigan	Michigan Stadium • Ann Arbor, MI	W31-14	101,001
January 1	vs. Oregon	Rose Bowl • Pasadena, CA ( Rose Bowl )	W10-7	98,202
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
