Year	Winner	Jockey	Trainer	Owner	Time	Purse
2013	Kitten's Dumplings	Joel Rosario	Michael J. Maker	Ken & Sarah Ramsey	1:48.41	100,000
2012	Centre Court	Javier Castellano	George “Rusty” Arnold	Revocable Trust	1:48.25	$114,200
2011	Bizzy Caroline	Manoel Cruz	Ken McPeek	Runnymeade Farm	1:49.73	$138,125
2010	Caminadora	Corey Nakatani	Todd Pletcher	Starlight Partners	1:52.04	$145,250
2009	Keertana	Robby Albarado	Thomas F. Proctor	Barbara Hunter	1:52.02	$200,000
2008	Pure Clan	Julien Leparoux	Robert E. Holthus	Lewis Lakin, et al.	1:49.86	$217,000
2007	Good Mood	Edgar Prado	Patrick Biancone	Flying Zee Stable	1:47.57	$228,600
2006	Lady of Venice	Julien Leparoux	Patrick Biancone	Martin S. Schwartz	1:47.31	$229,000
2005	Rich In Spirit	Gary Stevens	Thomas F. Proctor	Glen Hill Farm	1:49.76	$225,000
2004	Sister Star	Brice Blanc	Kenneth McPeek	John & Julie Marker	1:51.40	$221,800
2003	Sand Springs	Mark Guidry	Anthony L. Reinstedler	Willmott Stables	1:48.78	$231,000
2002	Distant Valley	Jerry Bailey	Niall O'Callaghan	Gary A. Tanaka	1:42.71	$169,050
2001	Casual Feat	Larry Melancon	Steven C. Penrod	Hidaway Farm	1:42.75	$167,250
2000	Solvig	Pat Day	Carl Nafzger	Bentley Smith Revocable Trust	1:42.95	$168,450
1999	Nani Rose	Shane Sellers	Patrick B. Byrne	Stonerside Stable	1:42.40	$168,450
1998	Formal Tango	Charles R. Woods, Jr.	Albert Stall, Jr.	David J. Hulkewicz	1:48.73	$170,850
1997	Starry Dreamer	Willie Martinez	C. R. McGaughey III	H. Joseph Allen	1:42.77	$111,900
1996	Daylight Come	Curt Bourque	Daniel J. Vella	Frank Stronach	1:45.72	$85,425
1995	Christmas Gift	Charles R. Woods, Jr.	Mark A. Hennig	Edward P. Evans	1:45.00	$83,400
1994	Packet	J. M. Johnson	Gary Hartlage	Upson Downs Farm	1:42.14	$83,925
1993	Lovats Lady	B. D. Peck	Peter Perkins	Wimborne Farm	1:42.95	$56,300
1992	Tiney Toast	Aaron Gryder	John G. Locke	Delwin Locke	1:44.40	$57,600
1991	Maria Balastiere	S. Payton	William I. Mott	David Richardson & Hiram Polk, Jr.	1:44.40	$54,950
1990	Secret Advice	B. E. Bartram	W. Elliott Walden	Golden Oak Farm	1:44.40	$55,100
1989	Justice Will Come	Steve H. Bass	Herbert Stevens	J. H. Gallagher	1:46.20	$56,450
1988	Lets Do Lunch	K. K. Allen	Lou M. Goldfine	Richard Duchossois	1:45.60	$70,550
1987	Jonowo	M. McDowell	Burk Kessinger, Jr.	R. Leniham	1:39.20	$57,100
1986	Rosemont Risk	Pat Day	William I. Mott	Rosemont Farm	1:36.80	$38,600
1985	Weekend Delight	James McKnight	Neil J. Howard	William S. Farish	1:35.60	$32,350
1984	Mrs. Revere	Larry Melancon	William I. Mott	Hiram Polk, Jr.	1:36.60	$33,650
1983	Rosy Specttre	James McKnight	Eduardo Inda	Tom Gentry	1:37.80	$30,800
1982 #	Amazing Love	Larry Melancon	A. J. Foyt III	A. J. Foyt, Jr.	1:37.00	$29675
1982 #	Sefa's Beauty	Mark Sellers	Larry Edwards	Farid Sefa	1:37.60	$29,450
1981	Contrefaire	Tommy Barrow	Robert S. DuBois	Herbert H. Hill	1:11.60	$25,700
1980 #	Forever Cordial	Richard DePass	John T. Ward, Jr.	John Oxley	1:12.00	$24,563
1980 #	No No Nona	Melvin A. Holland	T. J. Walker	Carl Swan	1:12.00	$23,692
1979	Fearless Dame	Richard DePass	Stanley M. Rieser	Robert Courtney	1:10.80	$16,120
1978	Unconscious Doll	Eddie Delahoussaye	Ray Lawrence, Jr.	C. C. Green	1:10.60	$14,853
1977	Shady Lou	Eddie Delahoussaye	R. J. Fischer	Leslie Combs II	1:10.60	$14,528
1976 #	Carmelita Gibbs	Robert Breen	D. M. Davis	Don Sucher	1:12.80	$14,502
1976 #	Confort Zone	J. C. Espinoza	Smiley Adams	Golden Chance Farm	1:12.80	$14,113
1975	Red Cross	Don Brumfield	C. R. Werstler	Dixiana Stable	1:09.60	$15,242
1974 #	Clemanna	J. C. Espinoza	Smiley Adams	Golden Chance Farm	1:11.20	$14,763
1974 #	Mary Dugan	James McKnight	Johnnie Johnson, Jr.	Jackson, Trick, Bayne	1:10.40	$15,153
1973	Juke Joint	W. Soirez	Anthony Basile	Bwamazon Farm	1:11.80	$15,535
1972	Nalees Folly	Robert Breen	Stanley M. Rieser	Mr. S. Fairman, Jr.	1:11.80	$15,064
1971	Peninsula Princess	M. Mangello	R. J. Fischer	Leslie Combs II	1:11.20	$15,778
1970	Three Pigeons	Tommy Barrow	P. B. Devereaux	J. W. Greathouse	1:10.80	$15,778
