Heat	Lane	Name	Country	Mark	React
1	5	Allan Scott	United Kingdom	7.57	0.159
1	3	Allen Johnson	United States	7.64	0.241
1	8	Shi Dongpeng	China	7.65 SB	0.147
1	4	Robert Kronberg	Sweden	7.75	0.172
1	6	Petr Svoboda	Czech Republic	7.81	0.149
1	2	Masato Naito	Japan	7.85	0.237
1	1	Anselmo da Silva	Brazil	7.94	0.225
1	7	Maksim Lynsha	Belarus	8.03	0.238
2	6	Thomas Blaschek	Germany	7.59	0.120
2	8	Evgeniy Borisov	Russia	7.61	0.142
2	5	Jackson Quiñónez	Spain	7.63	0.229
2	7	Adrien Deghelt	Belgium	7.69 PB	0.140
2	3	Maurice Wignall	Jamaica	7.70	0.259
2	4	Paulo Villar	Colombia	7.81	0.259
2	2	Samuel Coco-Viloin	France	7.93	0.242
2	1	Dominik Bochenek	Poland	7.97	0.268
3	5	Liu Xiang	China	7.57 SB	0.177
3	6	Staņislavs Olijars	Latvia	7.60 SB	0.152
3	7	Yoel Hernández	Cuba	7.63	0.176
3	4	David Oliver	United States	7.65	0.275
3	3	Willi Mathiszik	Germany	7.76	0.232
3	8	Damjan Zlatnar	Slovenia	7.77	0.129
3	1	Stanislav Sajdok	Czech Republic	7.85	0.214
3	2	Alexandru Mihailescu	Romania	7.96	0.249
