Name	Profession	City	Entered the house	Evicted
Borko Sarić	Actor	Belgrade	Day 1	Day 26
Mimi Đurović	Fashion designer	Nikšić	Day 1	Day 30
Milić Vukašinović	Musician	Belgrade	Day 1	Day 30
Katarina "Kaja" Ostojić	Singer	Belgrade	Day 1	Day 29
Slobodan "Bićko" Bićanin	Actor	Belgrade	Day 1	Day 22
Slađana Pejić	Model	Doboj	Day 1	Day 29
Skaj Vikler	Rapper	Belgrade	Day 1	Day 29
Ajs Nigrutin	Rapper	Belgrade	Day 1	Day 30
Zorica Marković	Folk singer	Belgrade	Day 1	Day 15
Petar Perović	Model	Belgrade	Day 1	Day 29
Maša Stanisavljević	TV presenter	Belgrade	Day 1	Day 8
Era Ojdanić	Folk musician	Leskovac	Day 1	Day 28
Anastasija Buđić	Model	Belgrade	Day 15	Day 28
