Week	Date	Opponent	Result	Attendance
1	September 9, 2001	at Buffalo Bills	W 24-6	71,447
3	September 30, 2001	at New York Giants	L 21-13	78,451
4	October 7, 2001	Minnesota Vikings	W 28-15	70,020
5	October 14, 2001	at Carolina Panthers	W 27-25	72,049
6	October 21, 2001	Atlanta Falcons	L 20-13	70,020
7	October 28, 2001	at St. Louis Rams	W 34-31	66,189
8	November 4, 2001	New York Jets	L 16-9	70,020
9	November 11, 2001	at San Francisco 49ers	L 28-27	68,063
10	November 18, 2001	Indianapolis Colts	W 34-20	70,020
11	November 25, 2001	at New England Patriots	L 34-17	60,292
12	December 2, 2001	Carolina Panthers	W 27-23	70,020
13	December 9, 2001	at Atlanta Falcons	W 28-10	68,826
14	December 17, 2001	St. Louis Rams	L 34-21	70,332
15	December 23, 2001	at Tampa Bay Buccaneers	L 48-21	65,526
16	December 30, 2001	Washington Redskins	L 40-10	70,020
17	January 6, 2002	San Francisco 49ers	L 38-0	70,020
