Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Galesburg	Traill	83	34.880	0.088	47.275052	-97.377726	3809729020	1036686
Garborg	Richland	96	36.048	0.000	46.412706	-97.092507	3807729060	1036849
Gardar	Pembina	95	35.900	0.000	48.586565	-97.861858	3806729140	1036721
Gardner	Cass	107	35.597	0.000	47.107857	-97.006614	3801729260	1036382
Garfield	Traill	169	34.932	0.000	47.628405	-97.408709	3809729300	1036709
Garner	Golden Valley	14	35.859	0.033	46.763852	-103.793192	3803329340	1037077
Garness	Burke	41	35.734	0.238	48.597470	-102.530731	3801329380	1037106
Garnet	Divide	21	35.442	0.292	48.669724	-103.461253	3802329420	1759391
Gascoyne	Bowman	13	35.480	0.056	46.061063	-103.047437	3801129580	1037242
Gasman	Ward	158	34.968	1.188	47.986054	-101.292254	3810129620	1036994
Gate	McLean	20	35.695	0.203	47.798190	-101.798760	3805529660	1759533
Gates	Eddy	43	35.488	0.371	47.804082	-99.083995	3802729700	1759405
Gem	Bowman	22	35.850	0.092	46.073648	-103.419814	3801129740	1037224
Gerber	Stutsman	9	33.576	2.101	47.187874	-99.442872	3809329860	1036506
German	Dickey	17	34.005	1.475	46.156786	-98.922493	3802129900	1036781
Germania	Stutsman	19	35.610	0.332	46.675105	-99.257982	3809329940	1036449
Germantown	Wells	29	35.084	0.189	47.623931	-99.447789	3810329980	1759702
Gerrard	Towner	13	35.513	0.353	48.590734	-99.288985	3809530020	1759652
Getchell	Barnes	73	34.780	1.037	47.015317	-98.031442	3800330060	1036427
Ghylin	Burleigh	41	35.645	0.000	47.112656	-100.559283	3801530100	1037191
Gibbs	Burleigh	1858	34.993	0.015	46.858129	-100.636969	3801530140	1037185
Gilby	Grand Forks	79	36.048	0.000	48.064200	-97.449288	3803530220	1036618
Gill	Cass	117	35.963	0.046	46.843247	-97.356306	3801730260	1036367
Gilmore	McHenry	13	35.487	0.670	48.411278	-100.722523	3804930300	1759491
Gilstrap	Adams	20	35.932	0.013	45.987824	-102.308144	3800130340	1037216
Glacier	Stutsman	22	34.668	0.973	47.282161	-99.172785	3809330380	1036512
Gladstone	LaMoure	51	36.012	0.000	46.500244	-98.222510	3804530420	1036897
Glen	LaMoure	38	33.995	1.371	46.588078	-98.953320	3804530540	1036917
Glendale	Logan	55	36.676	0.060	46.597063	-99.709798	3804730620	1037061
Glenfield	Foster	51	35.698	0.137	47.451722	-98.551615	3803130700	2397804
Glenila	Cavalier	13	35.753	0.124	48.832189	-98.963324	3801930780	1759360
Glenmore	LaMoure	53	35.959	0.000	46.500403	-98.725003	3804530820	1036905
Glenview	Burleigh	216	38.731	0.620	47.014586	-100.840657	3801530900	1037255
Glenwood	Walsh	201	35.732	0.000	48.499275	-97.600521	3809930940	1036546
Golden	Walsh	101	35.796	0.209	48.411901	-97.853075	3809931060	1036538
Golden Glen	LaMoure	108	35.272	0.077	46.323193	-98.733664	3804531100	1036891
Golden Lake	Steele	59	34.846	1.163	47.538741	-97.649068	3809131140	1036671
Golden Valley	Williams	19	35.960	0.130	48.423255	-103.070387	3810531260	1037031
Goldfield	Bowman	35	36.007	0.010	45.988073	-103.183244	3801131300	1759309
