Year	Organisation	Award	Nominated Work Title	Result
2000	Star Awards	Best News / Current Affairs Presenter	News 8 at Ten	Nominated
2001	Star Awards	Best News / Current Affairs Presenter	News 8 at Ten	Nominated
2003	Asian Television Awards	Best Current Affairs Presenter	Inside Out	Runner-up
2004	Lianhe Zaobao	Top 50 Most Popular Asian Idol	N/A	Won
2008	The Anniversary Gala 2008	Most Memorable News Presenter (2000s Era)	N/A	Won
2009	Star Awards	Best News / Current Affairs Presenter	News 8 at Ten	Nominated
2010	Star Awards	Best News Presenter	News 8 at Ten	Nominated
2011	Star Awards	Best News Story	Kallang Slash	Nominated
2011	Star Awards	Best News Presenter	News Tonight	Nominated
2012	Star Awards	Best News Presenter	News Tonight	Won
2013	Star Awards	Best News Presenter	News Tonight	Nominated
