Opposing Teams	Against	Date	Venue	Status
France	17	15/02/2003	Twickenham , London	Six Nations
Wales	9	22/02/2003	Millennium Stadium , Cardiff	Six Nations
Italy	5	09/03/2003	Twickenham , London	Six Nations
Scotland	9	22/03/2003	Twickenham , London	Six Nations
Ireland	6	30/03/2003	Lansdowne Road , Dublin	Six Nations
New Zealand	13	14/06/2003	Westpac Stadium , Wellington	Test Match
Australia	14	21/06/2003	Colonial Stadium , Melbourne	Test Match
Wales	9	23/08/2003	Millennium Stadium , Cardiff	Test Match
France	17	30/08/2003	Stade Vélodrome , Marseille	First Test
France	14	06/09/2003	Twickenham , London	Second Test
Georgia	6	12/10/2003	Subiaco Oval , Perth	2003 Rugby World Cup
South Africa	6	18/10/2003	Subiaco Oval , Perth	2003 Rugby World Cup
Samoa	22	26/10/2003	Colonial Stadium , Melbourne	2003 Rugby World Cup
Uruguay	13	02/11/2003	Suncorp Stadium , Brisbane	2003 Rugby World Cup
Wales	17	09/11/2003	Suncorp Stadium , Brisbane	2003 Rugby World Cup
France	7	16/11/2003	Stadium Australia , Sydney	2003 Rugby World Cup
Australia	17	22/11/2003	Stadium Australia , Sydney	2003 Rugby World Cup
