Player	Nationality	Position	From	School/Country
, Jim Jackson	United States	Guard/Forward	2005	Ohio State
, Tony Jackson	United States	Guard	1980	Florida State
, Sam Jacobson	United States	Guard/Forward	1998	Minnesota
, Antawn Jamison	United States	Forward	2012	North Carolina
, Tony Jaros	United States	Guard/Forward	1948	Minnesota
, Clay Johnson	United States	Guard	1981	Missouri
Magic Johnson *^	United States	Guard	1979; 1995	Michigan State
, Ron Johnson	United States	Forward	1960	Minnesota
, Darius Johnson-Odom	United States	Guard	2012	Marquette
, Howie Jolliff	United States	Forward/Center	1960	Ohio
, Dwight Jones	United States	Forward/Center	1982	Houston
Jones, Earl Earl Jones	United States	Center	1984	District of Columbia
, Eddie Jones	United States	Guard	1994	Temple
, Jumaine Jones	United States	Forward	2004	Georgia
, Eddie Jordan	United States	Guard	1980	Rutgers
, Reggie Jordan	United States	Guard	1993	New Mexico State
, Johnny Jorgensen	United States	Guard/Forward	1948	DePaul
