No. in series	No. in season	Title	Directed by	Written by	Original air date
69	1	"Greek Week"	Joel Zwick	Jeff Franklin	September21,1990
70	2	"Crimes and Michelle's Demeanor"	Joel Zwick	Scott Spencer Gordon	September28,1990
71	3	"The I.Q. Man"	Joel Zwick	Marc Warren & Dennis Rinsler	October5,1990
72	4	"Slumber Party"	Joel Zwick	Martie Cook	October12,1990
73	5	"Good News, Bad News"	Joel Zwick	Ellen Guylas	October19,1990
74	6	"A Pinch for a Pinch"	Joel Zwick	Charles A. Pratt, Jr.	October26,1990
75	7	"Viva Las Joey"	Joel Zwick	Marc Warren & Dennis Rinsler	November2,1990
76	8	"Shape Up"	Joel Zwick	Jeff Franklin	November9,1990
77	9	"One Last Kiss"	Joel Zwick	Leslie Ray & David Steven Simon	November16,1990
78	10	"Terror in Tanner Town"	Joel Zwick	Boyd Hale	November23,1990
79	11	"Secret Admirer"	Joel Zwick	Ellen Guylas	December7,1990
81	13	"Happy New Year"	Joel Zwick	Jeff Franklin	December28,1990
82	14	"Working Girl"	Joel Zwick	Marc Warren & Dennis Rinsler	January4,1991
83	15	"Ol' Brown Eyes"	Joel Zwick	Ellen Guylas & Boyd Hale	January11,1991
84	16	"Stephanie Gets Framed"	Joel Zwick	Doug McIntyre	January25,1991
85	17	"A Fish Called Martin"	Joel Zwick	Leslie Ray & David Steven Simon	February1,1991
86	18	"The Wedding" (Part 1)	Joel Zwick	Jeff Franklin	February8,1991
87	19	"The Wedding" (Part 2)	Joel Zwick	Jeff Franklin	February15,1991
88	20	"Fuller House"	Joel Zwick	Leslie Ray & David Steven Simon	February22,1991
89	21	"The Hole-in-the-Wall Gang"	Joel Zwick	Craig Heller & Guy Schulman	March1,1991
90	22	"Stephanie Plays the Field"	Joel Zwick	Mark Fink	March8,1991
91	23	"Joey Goes Hollywood"	Joel Zwick	Leslie Ray & David Steven Simon	March29,1991
92	24	"Girls Just Wanna Have Fun"	Joel Zwick	Marc Warren & Dennis Rinsler	April1,1991
93	25	"The Graduates"	Joel Zwick	Ellen Guylas	April26,1991
