Game	Date	Opponent	Score	Location	Record
58	Fri. Mar. 1	Charlotte Hornets	87-100	FleetCenter	31-27
59	Mon. Mar. 4	@ Philadelphia 76ers	100-94	First Union Center	32-27
60	Wed. Mar. 6	Orlando Magic	130-110	FleetCenter	33-27
61	Fri. Mar. 8	Detroit Pistons	117-92	FleetCenter	34-27
62	Sun. Mar. 10	Washington Wizards	98-91	FleetCenter	35-27
63	Mon. Mar. 11	@ Washington Wizards	104-99	MCI Center	36-27
64	Wed. Mar. 13	New Jersey Nets	97-89	FleetCenter	37-27
65	Fri. Mar. 15	@ Memphis Grizzlies	103-97	The Pyramid	38-27
66	Sat. Mar. 16	@ San Antonio Spurs	104-111	Alamodome	38-28
67	Mon. Mar. 18	Portland Trail Blazers	91-100	FleetCenter	38-29
68	Wed. Mar. 20	Cleveland Cavaliers	96-70	FleetCenter	39-29
69	Fri. Mar. 22	Philadelphia 76ers	91-96	FleetCenter	39-30
70	Sun. Mar. 24	@ Detroit Pistons	101-109	The Palace of Auburn Hills	39-31
71	Mon. Mar. 25	@ Miami Heat	87-82	American Airlines Arena	40-31
72	Wed. Mar. 27	Golden State Warriors	102-99	FleetCenter	41-31
73	Fri. Mar. 29	Dallas Mavericks	82-108	FleetCenter	41-32
74	Sun. Mar. 31	Milwaukee Bucks	110-80	FleetCenter	42-32
