Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	1981	Bologna , Italy	Carpet	Sammy Giammalva Jr.	Tomáš Šmíd Balázs Taróczy	7–6, 6–4
Winner	1982	Nice , France	Clay	Yannick Noah	Paul McNamee Balázs Taróczy	5–7, 6–4, 6–3
Runner-up	1982	Bournemouth , England	Clay	Ilie Năstase	Paul McNamee Buster Mottram	6–3, 6–7, 3–6
Winner	1982	Basel , Switzerland	Hard (i)	Yannick Noah	Fritz Buehning Pavel Složil	6–2, 6–2
Winner	1982	Vienna , Austria	Carpet	Pavel Složil	Mark Dickson Terry Moor	6–1, 7–6
Runner-up	1983	Monte Carlo , Monaco	Clay	Yannick Noah	Heinz Günthardt Balázs Taróczy	2–6, 4–6
Winner	1983	Aix-en-Provence , France	Clay	Gilles Moretton	Ivan Camus Sergio Casal	2–6, 6–1, 6–2
Runner-up	1984	Philadelphia , U.S.	Carpet	Yannick Noah	Peter Fleming John McEnroe	2–6, 3–6
Winner	1984	French Open , Paris	Clay	Yannick Noah	Pavel Složil Tomáš Šmíd	6–4, 2–6, 3–6, 6–3, 6–2
Winner	1984	Kitzbühel , Austria	Clay	Pascal Portes	Colin Dowdeswell Wojtek Fibak	2–6, 7–6, 7–6
Winner	1984	Stockholm , Sweden	Hard (i)	Tomáš Šmíd	Vijay Amritraj Ilie Năstase	3–6, 7–6, 6–4
Runner-up	1985	U.S. Open , New York	Hard	Yannick Noah	Ken Flach Robert Seguso	7–6, 6–7, 6–7, 0–6
Winner	1988	Nice , France	Clay	Guy Forget	Heinz Günthardt Diego Nargiso	4–6, 6–3, 6–4
Runner-up	1988	Monte Carlo , Monaco	Clay	Ivan Lendl	Sergio Casal Emilio Sánchez	0–6, 3–6
Runner-up	1990	London/Queen's Club , England	Grass	Ivan Lendl	Jeremy Bates Kevin Curren	2–6, 6–7
Runner-up	1991	Indian Wells , U.S.	Hard	Guy Forget	Jim Courier Javier Sánchez	6–7, 6–3, 3–6
Runner-up	1992	Toulouse , France	Hard (i)	Guy Forget	Brad Pearce Byron Talbot	1–6, 6–3, 3–6
Winner	1993	Indian Wells , U.S.	Hard	Guy Forget	Luke Jensen Scott Melville	6–4, 7–5
Runner-up	1994	Halle , Germany	Grass	Gary Muller	Olivier Delaître Guy Forget	4–6, 7–6, 4–6
