Sport	Year	Class	Coach	Record
Boys Basketball	1993	3A	Dave Neier	28-3
Boys Basketball	1994	3A	Dave Neier	31-1
Boys Basketball	1998	3A	Dave Neier	31-1
Boys Basketball	2006	3A	Dave Neier	30-1
Boys Basketball	2009	3A	Dave Neier	28-2
Boys Cross Country	1999	2A	Kurt Russell	116 at State Meet
Boys Cross Country	2000	2A	Kurt Russell	98 at State Meet
Boys Golf	1999	3A	Doug Light	638 at State Meet
Football	1993	3A	Dale Gildehaus	14-0
Volleyball	1987	3A	Mike Tyree	29-2-1
Volleyball	1988	3A	Mike Tyree	31-1
Volleyball	1988	3A	Mike Tyree	33-0
Volleyball	1990	3A	Mike Tyree	31-6
Volleyball	1992	3A	Mike Tyree	30-5-3
Volleyball	1993	3A	Mike Tyree	33-3
Volleyball	1995	3A	Mike Tyree	27-6-2
Volleyball	2000	3A	Mike Tyree	30-7
Volleyball	2004	3A	Mike Tyree	34-4-3
