Pick #	NFL Team	Player	Position	College
280	Baltimore Colts	Jim Bob Taylor	Quarterback	Georgia Tech
281	New York Giants	Lee Jenkins	Defensive back	Tennessee
282	Los Angeles Rams	Danny Triplett	Linebacker	Clemson
283	Denver Broncos	Don Bailey	Center	Miami (FL)
284	Kansas City Chiefs	Dwayne Jackson	Defensive end	South Carolina State
285	Philadelphia Eagles	Steve Sebahar	Center	Washington State
286	Chicago Bears	Gary Worthy	Running back	Wilmington (OH)
287	Detroit Lions	Ben Tate	Running back	North Carolina Central
288	Cleveland Browns	Boyce Green	Running back	Carson-Newman
289	San Francisco 49ers	Jesse Sapolu	Center	Hawaii
290	Seattle Seahawks	Bob Mayberry	Guard	Clemson
291	New York Giants	Clenzie Pierson	Defensive tackle	Rice
292	New England Patriots	Steve Parker	Wide receiver	Abilene Christian
293	Buffalo Bills	Larry White	Defensive end	Jackson State
294	New England Patriots	Calvin Eason	Defensive back	Houston
295	Atlanta Falcons	John Salley	Defensive back	Wyoming
296	St. Louis Cardinals	Aaron Williams	Wide receiver	Washington
297	Tampa Bay Buccaneers	Mark Witte	Tight end	North Texas State
298	Minnesota Vikings	Brian Butcher	Guard	Clemson
299	Green Bay Packers	Bucky Scribner	Punter	Kansas
300	Dallas Cowboys	Dan Taylor	Tackle	Idaho State
301	New York Jets	Mike Harmon	Wide receiver	Mississippi
302	Pittsburgh Steelers	Mark Raugh	Tight end	West Virginia
303	San Diego Chargers	Tim Kearse	Wide receiver	San Jose State
304	Cincinnati Bengals	Gary Williams	Wide receiver	Ohio State
305	Cleveland Browns	Howard McAdoo	Linebacker	Michigan State
306	Miami Dolphins	Joe Lukens	Guard	Ohio State
