Pick #	Player	Position	Nationality	NHL team	College/junior/club team
163	Marty Ketola	Right Wing	United States	Pittsburgh Penguins	Cloquet High School (USHS-MN)
164	Bill Fordy	Left Wing	Canada	Hartford Whalers	Guelph Platers (OHL)
165	Jay Octeau	Defence	United States	New Jersey Devils	Mount St. Charles Academy (USHS-RI)
166	Dave Sikorski	Defence	United States	Detroit Red Wings	Cornwall Royals (OHL)
167	Bruce Fishback	Centre	United States	Los Angeles Kings	White Bear Lake High School (USHS-MN)
168	Cliff Abrecht	Defence	Canada	Toronto Maple Leafs	Princeton University (ECAC)
169	Todd Flichel	Defence	Canada	Winnipeg Jets	Gloucester Rangers (COJHL)
170	Allan Measures	Defence	Canada	Vancouver Canucks	Calgary Wranglers (WHL)
171	Rob Kivell	Defence	Canada	Calgary Flames	Victoria Cougars (WHL)
172	Wayne Groulx	Centre	Canada	Quebec Nordiques	Sault Ste. Marie Greyhounds (OHL)
173	Paul Jerrard	Right Wing	Canada	New York Rangers	Notre Dame Hounds (SJHL)
174	Tim Hoover	Defence	Canada	Buffalo Sabres	Sault Ste. Marie Greyhounds (OHL)
175	Dave Cowan	Left Wing	United States	Washington Capitals	Washburn High School (USHS-MN)
176	Paul Pulis	Right Wing	United States	Minnesota North Stars	Hibbing High School (USHS-MN)
177	Kevin Vescio	Defence	Canada	New York Islanders	North Bay Centennials (OHL)
178	Grant Mckay	Defence	Canada	Montreal Canadiens	University of Calgary (CIAU)
179	Brian Noonan	Centre	United States	Chicago Black Hawks	Archbishop Williams High School (USHS-MA)
180	Dave Roach	Goaltender	Canada	Edmonton Oilers	New Westminster Royals (BCJHL)
181	Robbie Nichols	Left Wing	Canada	Philadelphia Flyers	Kitchener Rangers (OHL)
182	Harri Laurila	Defence	Finland	Boston Bruins	Lahti (Finland)
