Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Felinfoel RFC	22	22	0	0	662	266	83	32	10	0	98
Carmarthen Athletic RFC	22	18	1	3	606	263	81	28	11	2	87
Loughor RFC	22	16	0	6	546	365	70	41	8	3	75
Mumbles RFC	22	13	1	8	515	416	68	51	10	3	67
Pencoed RFC	22	13	1	8	585	329	78	33	9	3	66
Kidwelly RFC	22	11	0	11	474	400	54	54	7	6	57
Cwmavon RFC	22	11	1	10	352	364	47	46	4	2	52
Penclawdd RFC	22	9	0	13	394	429	47	55	4	3	43
Gorseinon RFC	22	8	0	14	401	437	53	56	5	5	42
Pontyberem RFC	22	6	0	16	289	435	35	58	2	6	32
Tumble RFC	22	1	1	20	291	721	35	102	2	4	12
Nantymoel RFC	22	1	1	20	160	850	22	117	0	0	6
