Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2005	Formula BMW USA	Team Apex Racing USA	14	2	1	2	5	122	3rd
2005	Formula BMW World Final	Team Autotecnica	1	0	0	0	0	N/A	6th
2006	Formula BMW USA	EuroInternational Team Apex Racing USA	14	3	3	3	7	149	1st
2006	Formula BMW ADAC	ADAC Berlin-Brandenburg	2	0	0	0	0	N/A	NC†
2006	Eurocup Formula Renault 2.0	Motopark Academy	2	0	0	0	0	N/A	NC†
2006	Formula BMW World Final	EuroInternational	1	0	0	0	0	N/A	8th
2007	Champ Car Atlantic	Red Bull/Team Forsythe	12	1	1	2	4	255	3rd
2007	Formula Renault 3.5 Series	Carlin Motorsport	4	0	0	0	0	6	25th
2007–08	A1 Grand Prix	A1 Team Canada	14	1	2	1	4	75	9th
2008	Formula Renault 3.5 Series	Carlin Motorsport	17	1	1	3	4	55	12th
2008	Formula Three Euroseries	Signature-Plus	14	1	0	0	2	10.5	15th
2009	FIA Formula Two Championship	Motorsport Vision	16	2	5	3	6	64	2nd
2009	Formula Three Euroseries	Kolles & Heinz Union	4	0	0	0	0	0	NC
2009	British Formula Three	Carlin Motorsport	2	0	0	0	1	12	16th
2009	Atlantic Championship	Genoa Racing	1	0	0	0	0	12	14th
2010	GP3 Series	Status Grand Prix	16	3	1	2	7	71	2nd
2011	Formula Renault 3.5 Series	Carlin Motorsport	17	5	7	4	10	241	1st
2011	Formula One	Marussia Virgin Racing	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
