Rank	Name	Nation	SP+FS	Points	Places
1	Linda Fratianne	United States	1	186.92	11
2	Anett Pötzsch	East Germany	3	184.36	18
3	Emi Watanabe	Japan	4	180.52	31
4	Dagmar Lurz	West Germany	6	179.96	33
5	Denise Biellmann	Switzerland	2	177.28	49
6	Lisa-Marie Allen	United States	5	176.68	54
7	Claudia Kristofics-Binder	Austria	7	175.44	63
8	Susanna Driano	Italy	9	173.46	70
9	Carola Weißenberg	East Germany	11	170.54	88
10	Kristiina Wegelius	Finland	15	169.26	98
11	Carrie Rugh	United States	10	169.34	97
12	Sanda Dubravčić	Yugoslavia	8	166.96	115
13	Natalia Strelkova	Soviet Union	16	164.94	134
14	Deborah Cottrill	United Kingdom	20	164.80	136
15	Karin Riediger	West Germany	17	164.50	142
16	Renata Baierova	Czechoslovakia	13	164.00	144
17	Petra Ernert	West Germany	14	163.24	149*
18	Kira Ivanova	Soviet Union	12	164.02	147
19	Janet Morrissey	Canada	18	162.04	162
20	Reiko Kobayashi	Japan	21	161.30	170*
21	Jeanne Chapman	Norway	19	161.80	166
22	Anita Siegfried	Switzerland	26	150.34	207
23	Astrid Jansen in de Wal	Netherlands	25	149.18	216
24	Franca Bianconi	Italy	22	149.04	218
25	Bodil Olsson	Sweden	23	147.02	225
26	Corine Wyrsch	Switzerland	27	146.76	233
27	Kim Myo Sil	North Korea	24	145.48	237
28	Belinda Coulthard	Australia	28	145.92	238
29	Katie Symmonds	New Zealand	29	134.58	261
30	Shin Hae Sook	South Korea	30	120.44	270
31	Gloria Mas	Spain	31	112.28	279
