Date	Visitor	Score	Home	Record	Attendance
September 30	Cleveland Browns	24-10	San Francisco 49ers	1-0-0	48,263
October 6	San Francisco 49ers	21-14	Philadelphia Eagles	1-1-0	23,827
October 14	San Francisco 49ers	28-24	Pittsburgh Steelers	2-1-0	27,124
October 21	San Francisco 49ers	13-7	Chicago Bears	2-2-0	42,296
October 28	Los Angeles Rams	44-17	San Francisco 49ers	3-2-0	49,538
November 4	San Francisco 49ers	23-16	Los Angeles Rams	3-3-0	54,346
November 11	New York Yanks	19-14	San Francisco 49ers	4-3-0	25,538
November 18	Chicago Cardinals	27-21	San Francisco 49ers	4-4-0	19,658
November 25	San Francisco 49ers	10-10	New York Yanks	4-4-1	10,184
December 2	San Francisco 49ers	20-10	Detroit Lions	5-4-1	46,467
December 9	Green Bay Packers	31-19	San Francisco 49ers	6-4-1	15,121
December 16	Detroit Lions	21-17	San Francisco 49ers	7-4-1	27,276
