Storm name	Dates active	Max 1-min wind mph (km/h)	Min. press. ( mbar )	Damage (millions USD )	Deaths
Agatha	May 29– 30	45 (75)	1001	1,100	190
Two-E	June 16– 17	35 (55)	1007	N/A	0
Blas	June 17– 21	65 (100)	994	None	0
Celia	June 18– 28	160 (260)	921	None	0
Darby	June 23– 28	120 (195)	959	N/A	0
Six-E	July 14– 16	35 (55)	1006	None	0
Estelle	August 6– 10	65 (100)	994	None	0
Eight-E	August 20– 21	35 (55)	1003	None	0
Frank	August 21– 28	90 (150)	978	8.3	6
Ten-E	September 3– 4	35 (55)	1003	None	0
Eleven-E	September 3– 4	35 (55)	1004	500	3 (44)
Georgette	September 20– 23	40 (65)	999	N/A	0
Omeka	December 18– 21	50 (85)	997	None	0
Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates
13 cyclones	May 29– December 21	160 (260)	921	1,608.3	199 (44)
