English Name	Height	Weight	Professions	Stat
Boon Wai (How)	183cm (6' 0")	74kg (163 lb)	Family Business	1st cut
Daryll Cha Chang Yen	180cm (5' 11")	68kg (150 lb)	Family Business	2nd cut
Allien Lim Choon Seng	183cm (6' 0")	75kg (165 lb)	Student	3rd cut
Christopher "Chris" Gan Yong Chia	180cm (5' 11")	61.8kg (136 lb)	Hairstyle Trainee	4th cut
Hero Tai Choo Xiong	176cm (5' 9.5")	74.5kg (164 lb)	Music Student	5th cut
Danny Foo Kim Chen	179.5cm (5' 11")	71.3kg (157 lb)	Sales Executives	6th cut
Jason Lee Yit Zheng	182cm (6' 0")	76kg (167 lb)	Agriculture Worker	7th cut
Kevin Soo Ker Way	176cm (5' 9.5")	62kg (136 lb)	Law Student	8th cut
Ken Tan Chia Kean	181cm (5' 11.5")	75.2kg (165 lb)	Amateur Model	Runner-up
Jack Koo Chen Jye	187.5cm (6' 2")	80.6kg (177 lb)	National Basketball Player	Winner
