Name	Years	Area	Authority	Decile	Roll
Browns Bay School	1–6	Browns Bay	State	10	610
Glamorgan School	1–6	Torbay Heights	State	10	507
Gulf Harbour School	1–8	Gulf Harbour	State	10	402
Long Bay School	1–6	Long Bay	State	10	318
Mairangi Bay School	1–6	Mairangi Bay	State	10	461
Murrays Bay Intermediate	7–8	Murrays Bay	State	10	963
Murrays Bay School	1–6	Murrays Bay	State	10	649
Northcross Intermediate	7–8	Northcross	State	10	1039
Orewa North Primary School	1–6	Orewa	State	8	295
Orewa Primary School	1–6	Orewa	State	8	299
Red Beach School	1–6	Red Beach	State	9	639
Sherwood School	1–6	Northcross	State	10	438
Silverdale School	1–8	Silverdale	State	9	420
St John's School	1–6	Mairangi Bay	State integrated	10	306
Stanmore Bay School	1–6	Stanmore Bay	State	8	473
Stella Maris Primary School	1–8	Silverdale	State integrated	10	314
Torbay School	1–6	Torbay	State	10	484
Wentworth Primary	1–6	Gulf Harbour	Private	n/a	55
Whangaparaoa School	1–6	Manly	State	9	698
