Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Monaco Grand Prix	Monaco	10 May	Jim Clark	Graham Hill	Graham Hill	BRM	D	Report
Dutch Grand Prix	Zandvoort	24 May	Dan Gurney	Jim Clark	Jim Clark	Lotus - Climax	D	Report
Belgian Grand Prix	Spa-Francorchamps	14 June	Dan Gurney	Dan Gurney	Jim Clark	Lotus - Climax	D	Report
French Grand Prix	Rouen-Les-Essarts	28 June	Jim Clark	Jack Brabham	Dan Gurney	Brabham - Climax	D	Report
British Grand Prix	Brands Hatch	11 July	Jim Clark	Jim Clark	Jim Clark	Lotus - Climax	D	Report
German Grand Prix	Nürburgring	2 August	John Surtees	John Surtees	John Surtees	Ferrari	D	Report
Austrian Grand Prix	Zeltweg	23 August	Graham Hill	Dan Gurney	Lorenzo Bandini	Ferrari	D	Report
Italian Grand Prix	Monza	6 September	John Surtees	John Surtees	John Surtees	Ferrari	D	Report
United States Grand Prix	Watkins Glen	4 October	Jim Clark	Jim Clark	Graham Hill	BRM	D	Report
Mexican Grand Prix	Hermanos Rodriguez	25 October	Jim Clark	Jim Clark	Dan Gurney	Brabham - Climax	D	Report
