Rnd	Circuit	GTP Winning Team	Lights Winning Team	GTO Winning Team	GTU Winning Team	Results
1	Daytona	#8 Henn's Swap Shop	#93 Mid-O Racing	#65 Roush Protofab	#71 Team Highball	Results
1	Daytona	A. J. Foyt Al Unser Bob Wollek Thierry Boutsen	Don Marsh Kelly Marsh Ron Pawley	Wally Dallenbach, Jr. Doc Bundy John Jones	Jack Dunham Amos Johnson Yojiro Terada	Results
2	Miami	#14 Holbert Racing	#63 RGP 500 Racing	#06 Roush Protofab	#76 Malibu Grand Prix	Results
2	Miami	Al Holbert Derek Bell	Jim Downing John Maffuci	Willy T. Ribbs	Jack Baldwin	Results
3	Sebring	#8 Preston Henn	#63 Jim Downing	#65 Roush Protofab	#56 SP Racing	Results
4	Road Atlanta	#04 Group 44	#72 Fabcar	#65 Roush Protofab	#76 Malibu Grand Prix	Results
4	Road Atlanta	Hurley Haywood Brian Redman	Elliot Forbes-Robinson Tom Winters	Wally Dallenbach, Jr. John Jones	Jack Baldwin	Results
5	Riverside	#68 BF Goodrich	#63 RGP 500 Racing	#65 Roush Protofab	#76 Malibu Grand Prix	Results
5	Riverside	Pete Halsmer John Morton	Jim Downing John Maffucci	Wally Dallenbach, Jr. John Jones	Jack Baldwin Jeff Kline	Results
6	Laguna Seca	#14 Holbert Racing	#6 Charles Morgan	#98 All American Racers	#55 Huffaker Racing	Results
6	Laguna Seca	Al Holbert	Bill Alsup	Dennis Aase	Bob Earl	Results
7	Charlotte	#14 Holbert Racing	#63 RGP 500 Racing	#53 Danny Smith	#55 Huffaker Racing	Results
7	Charlotte	Al Holbert Derek Bell	Jim Downing John Maffuci	Danny Smith	Bob Earl	Results
8	Lime Rock	#16 Dyson Racing	#9 Essex Racing	#7 Brooks Racing	#99 All American Racers	Results
8	Lime Rock	Drake Olson	Peter Greenfield Michael Greenfield	Darin Brassfield	Chris Cord	Results
9	Mid-Ohio	#14 Holbert Racing	#75 Malibu Grand Prix	#65 Roush Protofab	#84 Entech Racing	Results
9	Mid-Ohio	Al Holbert Derek Bell	Jack Baldwin Jeff Kline	Wally Dallenbach, Jr. John Jones	Clay Young	Results
10	Watkins Glen	#14 Holbert Racing	#6 Charles Morgan	#7 Brooks Racing	#55 Huffaker Racing	Results
10	Watkins Glen	Al Holbert Derek Bell	Charles Morgan Bill Alsup	Darin Brassfield Klaus Ludwig	Bob Earl	Results
11	Portland	#14 Holbert Racing	#63 RGP 500 Racing	#7 Brooks Racing	#55 Huffaker Racing	Results
11	Portland	Al Holbert	Jim Downing	Darin Brassfield	Bob Earl	Results
12	Sears Point	#86 Bayside Disposal	#75 Malibu Grand Prix	#7 Brooks Racing	#55 Huffaker Racing	Results
12	Sears Point	Bob Wollek	Jeff Kline	Darin Brassfield	Bob Earl	Results
13	Road America	#16 Dyson Racing	#93 Mid-O Racing	#65 Roush Protofab	#76 Malibu Grand Prix	Results
13	Road America	Bobby Rahal Drake Olson	Don Marsh Kelly Marsh Ron Pawley	Lyn St. James John Jones	Jack Baldwin Jeff Kline	Results
14	Pocono	#14 Holbert Racing	#9 Essex Racing	#77 Brooks Racing	#99 All American Racers	Results
14	Pocono	Al Holbert Derek Bell	Scott Schubot Dennis Vitolo	Darin Brassfield Scott Pruett	Chris Cord Dennis Aase	Results
15	Watkins Glen	#14 Holbert Racing	#63 RGP 500 Racing	#07 Roush Racing	#76 Malibu Grand Prix	Results
15	Watkins Glen	Al Holbert Derek Bell	Jim Downing John Maffuci	Lyn St. James	Jack Baldwin	Results
16	Columbus	#16 Dyson Racing	#63 RGP 500 Racing	#5 Dingman Bros.	#55 Huffaker Racing	Results
16	Columbus	Price Cobb Drake Olson	Jim Downing John Maffuci	Steve Millen	Bob Earl	Results
17	Daytona	#14 Holbert Racing	#63 Jim Downing	#65 Roush Protofab	#99 All American Racers	Results
