No.	#	Title	Directed by	Written by	Original air date	Production code	Television order
53	1	"Joker: The Vile and the Villainous!"	Ben Jones	Jim Krieg	April15,2011	301	S03E01
54	2	"Shadow of the Bat!"	Michael Goguen	J. M. DeMatteis	April22,2011	302	S03E02
55	3	"Night of the Batmen!"	Ben Jones	Paul Giacoppo	April29,2011	303	S03E03
56	4	"Scorn of the Star Sapphire!"	Michael Goguen	J. M. DeMatteis	July26,2011 September16,2011	304	S03E04
57	5	"Battle of the Superheroes!"	Ben Jones	Steven Melching	March25,2011	305	S03E05
58	6	"Time Out for Vengeance!"	Michael Goguen	J. M. DeMatteis	July28,2011 September23,2011	306	S03E06
59	7	"Sword of the Atom!"	Ben Jones	Thomas Pugsley & Steven Melching	July29,2011 September30,2011	307	S03E07
60	8	"Triumvirate of Terror!"	Michael Goguen	Paul Giacoppo	August1,2011 October7,2011	308	S03E08
61	9	"Bold Beginnings!"	Ben Jones	Alan Burnett & Paul Dini & Steven Melching	August2,2011 October14,2011	309	S03E09
62	10	"Powerless!"	Michael Goguen	Greg Weisman & Todd Casey & Kevin Hopps	August5,2011 October21,2011	310	S03E10
63	11	"Crisis: 22,300 Miles Above Earth!"	Michael Goguen	Steven Melching	August3,2011 October28,2011	312	S03E11
64	12	"Four Star Spectacular!"	Ben Jones	N/A	August8,2011 November4,2011	313	S03E12
