Date	Event	Heat/Semifinal/Final	Nation	Time
10 December	Men's 100m breaststroke	Heat 6	Ukraine	57.33
10 December	Men's 100m breaststroke	Heat 7	Hungary	56.89
10 December	Women's 100m freestyle	Heat 5	Netherlands	51.85
10 December	Men's 50m backstroke	Heat 1 (4×50m medley relay)	Russia	23.04
10 December	Men's 4×50m medley relay	Heat 1	Russia	1:32.08
10 December	Men's 400m freestyle	Final	Germany	3:34.55
10 December	Men's 200m backstroke	Final	Russia	1:48.62
10 December	Women's 100m backstroke	Semifinal 2	Russia	56.74
10 December	Women's 200m individual medley	Final	Hungary	2:04.64
10 December	Men's 100m breaststroke	Semifinal 2	Hungary	56.79
10 December	Women's 200m butterfly	Final	France	2:03.22
10 December	Men's 200m individual medley	Final	Austria	1:51.72
10 December	Women's 100m freestyle	Semifinal 1	Netherlands	51.54
10 December	Women's 50m breaststroke	Final	Netherlands	29.68
10 December	Men's 50m backstroke	Final (4×50m medley relay)	Russia	22.86
10 December	Men's 4×50m medley relay	Final	Russia	1:31.80
11 December	Men's 50m backstroke	Heat 5	Russia	22.80
11 December	Women's 50m butterfly	Heat 3	Netherlands	25.13
11 December	Women's 100m individual medley	Heat 4	Norway	59.12
11 December	Men's 50m backstroke	Semifinal 2	Russia	22.79
11 December	Women's 50m butterfly	Semifinal 1	Netherlands	25.09
11 December	Men's 400m individual medley	Final	Hungary	3:57.27
11 December	Women's 200m breaststroke	Final	Denmark	2:16.66
11 December	Men's 50m breaststroke	Final (100m breaststroke)	Netherlands	26.34
11 December	Men's 100m breaststroke	Final	Netherlands	56.29
11 December	Women's 100m freestyle	Final	Netherlands	51.35
11 December	Women's 100m backstroke	Final	Russia	56.36
11 December	Men's 100m butterfly	Final	Russia	48.93
11 December	Women's 100m individual medley	Semifinal 1	Hungary	58.61
11 December	Women's 50m butterfly	Final	Netherlands Netherlands	25.00
11 December	Men's 50m backstroke	Final	Russia	22.76
11 December	Women's 50m freestyle	Final (4×50m freestyle relay)	Netherlands	23.53
11 December	Women's 4×50m freestyle relay	Final	Netherlands	1:33.25
12 December	Men's 100m individual medley	Heat 5	Russia	51.35
12 December	Women's 100m butterfly	Heat 3	Denmark	56.66
12 December	Men's 50m breaststroke	Semifinal 1	Italy	26.23
12 December	Men's 50m breaststroke	Semifinal 2	Italy	26.14
12 December	Men's 100m individual medley	Semifinal 1	Slovenia	50.76
12 December	Men's 100m backstroke	Semifinal 1	Russia	49.17
12 December	Women's 100m individual medley	Final	Netherlands	57.85
12 December	Men's 200m butterfly	Final	Russia	1:49.46
12 December	Women's 100m butterfly	Semifinal 1	France	55.05
12 December	Women's 50m backstroke	Final	Croatia	25.70
12 December	Women's 4×50m medley relay	Final	Netherlands	1:42.69
13 December	Women's 50m freestyle	Heat 5	Netherlands	23.46
13 December	Men's 200m breaststroke	Heat 3	Russia	2:03.88
13 December	Men's 200m breaststroke	Heat 5	Hungary	2:03.25
13 December	Men's 200m freestyle	Heat 6	Russia	1:40.87
13 December	Men's 50m butterfly	Semifinal 2	Germany	22.13
13 December	Men's 200m breaststroke	Final	Hungary	2:00.67
13 December	Women's 200m freestyle	Final	Italy	1:51.17
13 December	Men's 200m freestyle	Final	Germany	1:39.81
13 December	Women's 100m breaststroke	Final	Germany	1:04.84
13 December	Men's 100m backstroke	Final	Russia Russia	48.97
13 December	Men's 50m butterfly	Final	Germany	22.07
13 December	Women's 50m freestyle	Final	Netherlands	23.32
