Team	Average	Points	Played	1986-87	1987-88	1988-89
Independiente	1.219	139	114	47	37	55
Newell's Old Boys	1.193	136	114	48	55	33
San Lorenzo	1.184	135	114	44	49	42
Racing Club	1.158	132	114	44	48	40
Boca Juniors	1.140	130	114	46	35	49
River Plate	1.140	130	114	39	46	45
Rosario Central	1.079	123	114	49	40	34
Deportivo Español	1.070	122	114	36	40	46
Gimnasia de La Plata	1.018	116	114	37	43	36
Vélez Sársfield	1.009	115	114	41	41	33
Estudiantes de La Plata	0.974	111	114	37	32	42
Argentinos Juniors	0.965	110	114	28	40	42
Talleres de Córdoba	0.956	109	114	38	27	44
Ferro Carril Oeste	0.939	107	114	44	33	30
Textil Mandiyú	0.868	33	38	N/A	N/A	33
Platense	0.860	98	114	27	38	33
Instituto de Córdoba	0.851	97	114	41	33	23
Racing de Córdoba	0.851	97	114	33	31	33
San Martín de Tucumán	0.842	32	38	N/A	N/A	32
