Name	Nationality	Club	From	Until
Bob Bradley	United States	Chicago Fire	1998	2002
Dave Sarachan	United States	Chicago Fire	2003	2007
Juan Carlos Osorio	Colombia	Chicago Fire	2007	2007
Denis Hamlett	Costa Rica	Chicago Fire	2008	2009
Carlos de los Cobos	Mexico	Chicago Fire	2010	2011
Frank Klopas	United States	Chicago Fire	2011	2013
Frank Yallop	Canada	Chicago Fire	2013	Present
Thomas Rongen	Netherlands	Chivas USA	2005	2005
Javier Ledesma (interim)	Mexico	Chivas USA	2005	2005
Hans Westerhof	Netherlands	Chivas USA	2005	2005
Bob Bradley	United States	Chivas USA	2006	2006
Preki	United States	Chivas USA	2007	2009
Martin Vasquez	United States	Chivas USA	2010	2010
Robin Fraser	United States	Chivas USA	2011	2012
José Luis Sánchez Solá	Mexico	Chivas USA	2013	2013
José Luis Real	Mexico	Chivas USA	2013	present
Bobby Houghton	England	Colorado Rapids	1996	1996
Roy Wegerle (interim)	United States	Colorado Rapids	1996	1996
Glenn Myernick	United States	Colorado Rapids	1997	2000
Tim Hankinson	United States	Colorado Rapids	2001	2004
Fernando Clavijo	United States	Colorado Rapids	2005	2008
Gary Smith	England	Colorado Rapids	2008	2011
Óscar Pareja	Colombia	Colorado Rapids	2012	present
Timo Liekoski	Finland	Columbus Crew	1996	1996
Tom Fitzgerald	United States	Columbus Crew	1996	2001
Greg Andrulis	United States	Columbus Crew	2001	2005
Robert Warzycha (interim)	Poland	Columbus Crew	2005	2005
Sigi Schmid	United States	Columbus Crew	2006	2008
Robert Warzycha	Poland	Columbus Crew	2009	2013
Brian Bliss (interim)	United States	Columbus Crew	2013	present
Bruce Arena	United States	D.C. United	1996	1998
Thomas Rongen	Netherlands	D.C. United	1999	2001
Ray Hudson	England	D.C. United	2002	2003
Piotr Nowak	Poland	D.C. United	2004	2006
Tom Soehn	United States	D.C. United	2006	2009
Curt Onalfo	United States	D.C. United	2009	2010
Ben Olsen	United States	D.C. United	2010	present
Dave Dir	United States	Dallas Burn	1996	2000
Mike Jeffries	United States	Dallas Burn	2001	2003
Colin Clarke	Northern Ireland	Dallas Burn / FC Dallas	2003	2006
Steve Morrow	Northern Ireland	FC Dallas	2006	2008
Marco Ferruzzi	United States	FC Dallas	2008	2008
Schellas Hyndman	United States	FC Dallas	2008	present
Dominic Kinnear	United States	Houston Dynamo	2006	present
Lothar Osiander	Germany	Los Angeles Galaxy	1996	1997
Octavio Zambrano	Ecuador	Los Angeles Galaxy	1997	1999
Sigi Schmid	United States	Los Angeles Galaxy	1999	2004
Steve Sampson	United States	Los Angeles Galaxy	2004	2006
Frank Yallop	Canada	Los Angeles Galaxy	2006	2007
Ruud Gullit	Netherlands	Los Angeles Galaxy	2007	2008
Cobi Jones (interim)	United States	Los Angeles Galaxy	2008	2008
Bruce Arena	United States	Los Angeles Galaxy	2008	present
Carlos Córdoba	Argentina	Miami Fusion	1998	1998
Ivo Wortmann	Brazil	Miami Fusion	1998	2000
Ray Hudson	England	Miami Fusion	2000	2001
Jesse Marsch	United States	Montreal Impact	2012	2012
Marco Schällibaum	Switzerland	Montreal Impact	2013	present
Frank Stapleton	Ireland	New England Revolution	1996	1996
Thomas Rongen	Netherlands	New England Revolution	1997	1998
Walter Zenga	Italy	New England Revolution	1999	1999
Steve Nicol (interim)	Scotland	New England Revolution	1999	1999
Fernando Clavijo	United States	New England Revolution	2000	2002
Steve Nicol	Scotland	New England Revolution	2002	2011
Jay Heaps	United States	New England Revolution	2012	present
Eddie Firmani	Italy	New York/New Jersey MetroStars	1996	1996
Carlos Queiroz	Portugal	New York/New Jersey MetroStars	1996	1996
Carlos Alberto Parreira	Brazil	New York/New Jersey MetroStars	1997	1997
Alfonso Mondelo	Spain	MetroStars	1998	1998
Bora Milutinović	Serbia	MetroStars	1998	1999
Octavio Zambrano	Ecuador	MetroStars	2000	2002
Bob Bradley	United States	MetroStars	2003	2005
Mo Johnston	Scotland	MetroStars / New York Red Bulls	2005	2006
Richie Williams (interim)	United States	New York Red Bulls	2006	2006
Bruce Arena	United States	New York Red Bulls	2006	2007
Juan Carlos Osorio	Colombia	New York Red Bulls	2008	2009
Richie Williams (interim)	United States	New York Red Bulls	2009	2009
Hans Backe	Sweden	New York Red Bulls	2010	2012
Mike Petke	United States	New York Red Bulls	2013	present
Piotr Nowak	Poland	Philadelphia Union	2010	2012
John Hackworth	United States	Philadelphia Union	2012	present
John Spencer	Scotland	Portland Timbers	2011	2012
Gavin Wilkinson (interim)	New Zealand	Portland Timbers	2012	2012
Caleb Porter	United States	Portland Timbers	2013	present
John Ellinger	United States	Real Salt Lake	2005	2007
Jason Kreis	United States	Real Salt Lake	2007	present
Laurie Calloway	England	San Jose Clash	1996	1997
Brian Quinn	Northern Ireland	San Jose Clash	1997	1999
Jorge Espinoza (interim)	Chile	San Jose Clash	1999	1999
Lothar Osiander	Germany	San Jose Earthquakes	1999	2000
Frank Yallop	Canada	San Jose Earthquakes	2001	2003
Dominic Kinnear	United States	San Jose Earthquakes	2004	2005
Frank Yallop	Canada	San Jose Earthquakes	2008	2013
Mark Watson	Canada	San Jose Earthquakes	2013	present
Sigi Schmid	United States	Seattle Sounders FC	2009	present
Ron Newman	England	Kansas City Wizards	1996	1999
Ken Fogarty (interim)	England	Kansas City Wizards	1999	1999
Bob Gansler	United States	Kansas City Wizards	1999	2006
Brian Bliss (interim)	United States	Kansas City Wizards	2006	2006
Curt Onalfo	United States	Kansas City Wizards	2007	2009
Peter Vermes	United States	Sporting Kansas City	2009	present
Thomas Rongen	Netherlands	Tampa Bay Mutiny	1996	1996
John Kowalski	United States	Tampa Bay Mutiny	1997	1998
Tim Hankinson	United States	Tampa Bay Mutiny	1998	2000
Alfonso Mondelo	Spain	Tampa Bay Mutiny	2001	2001
Perry Van der Beck	United States	Tampa Bay Mutiny	2001	2001
Mo Johnston	Scotland	Toronto FC	2007	2007
John Carver	England	Toronto FC	2008	2009
Chris Cummins (interim)	England	Toronto FC	2009	2009
Preki	United States	Toronto FC	2010	2010
Nick Dasovic (interim)	Canada	Toronto FC	2010	2010
Aron Winter	Netherlands	Toronto FC	2011	2012
Paul Mariner	England	Toronto FC	2012	2012
Ryan Nelsen	New Zealand	Toronto FC	2013	present
Teitur Thordarson	Iceland	Vancouver Whitecaps FC	2011	2011
Tom Soehn (interim)	United States	Vancouver Whitecaps FC	2011	2011
Martin Rennie	Scotland	Vancouver Whitecaps FC	2012	present
