Place	Scorer	Goals	Appearances	Team
1.	Gaspar	31	34	Vaduz
2.	Samel Šabanović	25	34	Wil
3.	Pascal Renfer	20	25	Lugano
3.	Alain Schultz	20	30	Wohlen
5.	Christian Pouga	18	32	Bellinzona
5.	Safet Etemi	18	33	Gossau
7.	Rainer Bieli	17	33	Concordia Basel
8.	Newton Ben Katanha	16	26	Schaffhausen
8.	Bruno Valente	16	30	Chaux-de-Fonds
10.	Önder Çengel	14	26	Winterthur
11.	Leandro Fonseca	13	30	Yverdon-Sport
12.	Silvio Carlos	11	16	Wil
13.	Neri	10	16	Bellinzona
13.	Yane Bugnard	10	23	Lausanne-Sport
13.	Benjamin Fischer	10	28	Vaduz
13.	Ifet Taljević	10	30	Bellinzona
13.	Senad Lulić	10	33	Bellinzona
