Week	Date	Opponent	Result	Venue	Attendance	Record
1	1964-09-13	Baltimore Colts	W 34-24	Metropolitan Stadium	35,563	1-0
2	1964-09-20	Chicago Bears	L 28-7	Metropolitan Stadium	41,387	1-1
3	1964-09-27	at Los Angeles Rams	L 22-13	Los Angeles Memorial Coliseum	50,009	1-2
4	1964-10-04	at Green Bay Packers	W 24-23	City Stadium	42,327	2-2
5	1964-10-11	Detroit Lions	L 24-20	Metropolitan Stadium	40,840	2-3
6	1964-10-18	Pittsburgh Steelers	W 30-10	Metropolitan Stadium	39,873	3-3
7	1964-10-25	at San Francisco 49ers	W 27-22	Kezar Stadium	31,845	4-3
8	1964-11-01	Green Bay Packers	L 42-13	Metropolitan Stadium	44,278	4-4
9	1964-11-08	San Francisco 49ers	W 24-7	Metropolitan Stadium	40,408	5-4
10	1964-11-15	at Baltimore Colts	L 17-14	Memorial Stadium	60,213	5-5
11	1964-11-22	at Detroit Lions	T 23-23	Tiger Stadium	48,291	5-5-1
12	1964-11-29	Los Angeles Rams	W 34-13	Metropolitan Stadium	31,677	6-5-1
13	1964-12-06	at New York Giants	W 30-21	Yankee Stadium	62,802	7-5-1
14	1964-12-13	at Chicago Bears	W 41-14	Wrigley Field	46,486	8-5-1
