Season	Skip	Third	Second	Lead
1982–83	Anette Norberg	Carina Nilsson	Louise Marmont	Anna Rindeskog
1984–85	Anette Norberg	Anna Rindeskog	Sofie Marmont	Louise Marmont
1985–86	Anette Norberg	Sofie Marmont	Anna Rindeskog	Louise Marmont
1986–87	Anette Norberg	Carina Westman	Anna Rindeskog	Louise Marmont
1987–88	Anette Norberg	Anna Rindeskog (began season as second)	Sofie Marmont (began season as third)	Louise Marmont
1988 ECC	Elisabeth Högström	Anette Norberg	Monika Jansson	Marie Henriksson
1989 WCC	Anette Norberg	Anna Rindeskog	Sofie Marmont	Louise Marmont
1989–90	Anette Norberg	Anna Rindeskog	Sofie Marmont	Louise Marmont
1990–91	Anette Norberg	Cathrine Norberg	Anna Rindeskog	Helene Granqvist
1991–92	Anette Norberg	Anna Rindeskog	Cathrine Norberg	Helene Granqvist
1994–95	Anette Norberg	Cathrine Norberg	Helena Klange	Helene Granqvist
1998–99	Anette Norberg	Cathrine Norberg	Helena Svensson	Anna Blom
2000–01	Anette Norberg	Cathrine Norberg	Eva Lund	Helena Lingham
2001–02	Anette Norberg	Cathrine Norberg	Eva Lund	Maria Hasselborg
2002–03	Anette Norberg	Eva Lund (began season as second)	Cathrine Norberg (began season as third)	Helena Lingham
2003–04	Anette Norberg	Eva Lund	Cathrine Norberg	Anna Bergström
2004–05	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Bergström
2005–06	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Svärd
2006–07	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Svärd
2007–08	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Svärd
2008–09	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Svärd Margaretha Sigfridsson
2009–10	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Le Moine
2010–11	Anette Norberg	Cecilia Östlund	Sara Carlsson	Liselotta Lennartsson
