Region/Country	Local name	Main presenter	Network	Year premiered
China	夢想合唱團 Mengxiang hechang tuan	Sa Beining	CCTV-1	2011
Denmark	AllStars	Lisbeth Østergaard	TV2	2008
Estonia	Laululahing	Tarmo Leinatamm	ETV	2008
Finland	Kuorosota	Kristiina Komulainen	Nelonen	2009
France	La Bataille des Chorales	Benjamin Castaldi	TF1	2009
Latvia	Koru Kari	Lauris Reiniks	TV3	2008
Lithuania	Chorų karai	Vytautas Šapranauskas & Jurgita Jurkutė	TV3	2010
Norway	Det store korslaget	Øyvind Mund	TV2	2009
Poland	Bitwa na glosy	Hubert Urbanski & Piotr Kedzierski	TVP 2	2010
Russia	Битва хоров	Valery Meladze	Rossiya 1	2012
Spain	La Batalla de los Coros	Josep Lobató	Cuatro	2008
Sweden	Körslaget	Gry Forssell	TV4	2008
Switzerland	Kampf der Chöre	Sven Epiney	SF 1	2010
Turkey	Korolar Çarpışıyor	Behzat Uighur	Show TV	2009
Vietnam	Hợp ca tranh tài	Nguyên Khang	VTV3	2012
