Rd.	Grand Prix	Pole position	Fastest lap	Winning driver	Winning constructor	Report
1	Australian Grand Prix	Sebastian Vettel	Felipe Massa	Sebastian Vettel	Red Bull - Renault	Report
2	Malaysian Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
3	Chinese Grand Prix	Sebastian Vettel	Mark Webber	Lewis Hamilton	McLaren - Mercedes	Report
4	Turkish Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
5	Spanish Grand Prix	Mark Webber	Lewis Hamilton	Sebastian Vettel	Red Bull - Renault	Report
6	Monaco Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
7	Canadian Grand Prix	Sebastian Vettel	Jenson Button	Jenson Button	McLaren - Mercedes	Report
8	European Grand Prix	Sebastian Vettel	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
9	British Grand Prix	Mark Webber	Fernando Alonso	Fernando Alonso	Ferrari	Report
10	German Grand Prix	Mark Webber	Lewis Hamilton	Lewis Hamilton	McLaren - Mercedes	Report
11	Hungarian Grand Prix	Sebastian Vettel	Felipe Massa	Jenson Button	McLaren - Mercedes	Report
12	Belgian Grand Prix	Sebastian Vettel	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
13	Italian Grand Prix	Sebastian Vettel	Lewis Hamilton	Sebastian Vettel	Red Bull - Renault	Report
14	Singapore Grand Prix	Sebastian Vettel	Jenson Button	Sebastian Vettel	Red Bull - Renault	Report
15	Japanese Grand Prix	Sebastian Vettel	Jenson Button	Jenson Button	McLaren - Mercedes	Report
16	Korean Grand Prix	Lewis Hamilton	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
17	Indian Grand Prix	Sebastian Vettel	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
18	Abu Dhabi Grand Prix	Sebastian Vettel	Mark Webber	Lewis Hamilton	McLaren - Mercedes	Report
