Rank	Country	2009	2010	2011
1	China	8,038,703	8,651,831	9,174,280
2	Italy	8,242,500	7,787,800	7,115,500
3	United States	6,629,198	6,777,731	6,756,449
4	France	6,101,525	5,794,433	6,588,904
5	Spain	5,535,333	6,107,617	5,809,315
6	Turkey	4,264,720	4,255,000	4,296,351
7	Chile	2,600,000	2,903,000	3,149,380
8	Argentina	2,181,567	2,616,613	2,750,000
9	Iran	2,305,000	2,225,000	2,240,000
10	Australia	1,797,012	1,684,345	1,715,717
—	World	58,521,410	58,292,101	58,500,118
Source: UN Food & Agriculture Organization	Source: UN Food & Agriculture Organization	Source: UN Food & Agriculture Organization	Source: UN Food & Agriculture Organization	Source: UN Food & Agriculture Organization
