Date	Tournament	Winning score	To par	Margin of victory
27 Sep 1992	Piaget Belgian Open	71-70-64-69=274	−10	3 strokes
24 Jul 1994	Heineken Dutch Open	65-68-67-70=270	−18	2 strokes
10 May 1998	Turespana Masters Open Baleares	69-68-70-72=279	−9	2 strokes
20 Sep 1998	Trophée Lancôme	67-70-67-69=273	−11	2 strokes
14 Mar 1999	Turespana Masters - Open Andalucia	69-66-62-67=264	−24	4 strokes
31 Oct 1999	Volvo Masters	68-67-69-65=269	−19	2 strokes
19 Oct 2003	Turespana Mallorca Classic	72-67-65=204	−9	1 stroke
1 Feb 2004	Johnnie Walker Classic 1	70-66-67-68=271	−17	2 strokes
4 Apr 2004	Algarve Open de Portugal	69-66-70-67=272	−16	2 strokes
16 May 2004	BMW Asian Open 1	71-66-70-67=274	−14	3 strokes
29 Aug 2004	BMW International Open	68-66-67-66=267	−21	2 strokes
5 Dec 2004	Omega Hong Kong Open 1	65-64-71-66=266	−14	1 stroke
5 Jun 2005	Celtic Manor Wales Open	63-67-70-62=262	−14	4 strokes
18 Nov 2007	UBS Hong Kong Open 1	65-67-66-67=265	−15	1 stroke
25 May 2008	BMW PGA Championship	70-67-72-68=277	−11	Playoff
7 Feb 2010	Omega Dubai Desert Classic	70-67-68-72=277	−11	Playoff
4 July 2010	Alstom Open de France	71-69-66-67=273	−11	Playoff
5 Sep 2010	Omega European Masters 1	67-61-68-67=263	−21	3 strokes
18 Nov 2012	UBS Hong Kong Open 1	65-67-68-65=265	−15	1 stroke
