Title	Label	Year of Release	Country of Release	Peaches:
Greatest Hits	Date	1968	USA	Francine Barker
Greatest Hits	Epic	1979	USA	Francine Barker
Sweathearts of Soul	Origianal Sound Entertainment	1994	USA	Francine Barker
Reunited: At Their Best	PSM	1995	USA	Linda Greene
Best of Peaches & Herb	MVP / Polydor	1996	USA	Linda Greene
Reunited	Rotation / MVP / Polydor	2001	EU	Linda Greene
20th Century Masters	MVP / Polydor	2002	USA	Linda Greene
Two of a Kind	Collectables	2005	USA	Francine Barker
Old School Cruzin' With Peaches & Herb	Thump	2005	USA	Francine Barker
The Best of Peaches & Herb: Love Is Strange	Epic / Legacy	2007	USA	Francine Barker
Greatest Hits	Wounded Bird	2009	USA	Francine Barker
Golden Duets	Wounded Bird	2009	USA	Francine Barker
