Song	Artist	Album	Director	Year
" Nann Nigga "	Trick Daddy Feat. Trina	www.thug.com	Zodiac Fishgrease	1998
"Give You What You Want (Remix)"	Chico DeBarge Feat. Trina	Game	Nick Quested	1999
" Da Baddest Bitch "	Trina Feat. Trick Daddy	Da Baddest Bitch	Nick Quested	2000
"Pull Over"	Trina Feat. Trick Daddy	Da Baddest Bitch	Nick Quested	2000
"Shut Up (Remix)"	Trick Daddy Feat. Duece Poppi & Trina	Book of Thugs	Zodiac Fishgrease	2000
"That's Cool"	Silkk the Shocker Feat. Trina	My World, My Way	Nick Quested	2000
" One Minute Man (Remix) "	Missy "Misdemeanor" Elliott Feat. Ludacris & Trina	Miss E ...So Addictive	Dave Meyers	2001
"Told Ya'll"	Trina Feat. Rick Ross	Diamond Princess	Nick Quested	2002
" No Panties "	Trina Feat. Tweet	Diamond Princess	Darren Grant and Ted Lucas	2002
" B R Right "	Trina Feat. Ludacris	Diamond Princess	Dave Meyers	2002
" Right Thurr (Remix) "	Chingy Feat. Jermaine Dupri & Trina	Jackpot	Jeremy Rall	2003
"Scream"	Renegade Foxxx & Trina	Still Hustlin'	Bobby Stoxx	2004
"Bad Chick (Remix)"	Webbie Feat. Trina	Hustle & Flow (soundtrack) / Savage Life	Dr. Teeth	2005
" Don't Trip "	Trina Feat. Lil Wayne	Glamorest Life	Dr. Teeth	2005
"In Ya Face (Remix)"	Ebony Eyez Feat. Trina	7 Day Cycle	Unknown	2005
" Here We Go "	Trina Feat. Kelly Rowland	Glamorest Life	Nick Quested	2005
"Frikitona (Remix)"	Plan B Feat. Trick Daddy, Trina & LDA	Chosen Few II: El Documental	Antwan Smith	2007
" Go Girl "	Pitbull Feat. Trina & Young Bo$$	The Boatlift	David Rousseau	2007
" Single Again "	Trina	Still da Baddest	Bille Woodruff	2008
" I Got A Thang For You "	Trina Feat. Keyshia Cole	Still da Baddest	R. Malcolm Jones	2008
" Look Back at Me "	Trina Feat. Killer Mike	Still da Baddest	Antwan Smith	2008
" Face "	Rick Ross Feat. Trina	Deeper Than Rap	Diane Martel	2009
" 5 Star (Remix) "	Yo Gotti Feat. Gucci Mane , Trina & Nicki Minaj	Live from the Kitchen	Dale Resteghini	2009
" My Chick Bad (Remix)"	Ludacris Feat. Diamond , Trina & Eve	Battle of the Sexes	Taj Stansberry	2010
"That's My Attitude"	Trina	Amazin'	R. Malcolm Jones	2010
"Million Dollar Girl"	Trina	Amazin'	Gil Green	2010
"White Girl"	Trina Feat. Flo Rida	Amazin'	Antwan Smith	2010
"My Bitches"	Trina	Amazin'	Spiff TV	2010
"Diamonds Are Forever"	Trina	Diamonds Are Forever (Mixtape)	Vulpine Films	2011
"Long Heels Red Bottoms"	Trina	Diamonds Are Forever (Mixtape)	Gil Green	2011
"Party Like a DJ"	The Glam Feat. Dwaine, Flo Rida & Trina	Kontor House of House Vol 13 (Compilation Album)	Antwan Smith & Claudio Zagarini	2012
"UR A Million $ Girl"	Dwaine Feat. Keri Hilson , Trina & Diddy	Kontor House of House Vol 13 (Compilation Album)	unknown	2012
"Here We Go Again"	Vicky Green Feat. Kelly Rowland & Trina	Kontor House of House Vol 13 (Compilation Album)	unknown	2012
