Position	Game 1	Game 2	Game 3	Exhibition*
Fullback	Gary Belcher	Gary Belcher	Gary Belcher	Gary Belcher
Wing	Tony Currie	Colin Scott	Colin Scott	Tony Currie
Centre	Peter Jackson	Peter Jackson	Peter Jackson	Peter Jackson
Centre	Gene Miles	Gene Miles	Gene Miles	Gene Miles
Wing	Dale Shearer	Dale Shearer	Dale Shearer	Dale Shearer
Five-Eighth	Wally Lewis (c)	Wally Lewis (c)	Wally Lewis (c)	Wally Lewis (c)
Halfback	Allan Langer	Allan Langer	Allan Langer	Allan Langer
Prop	Greg Dowling	Greg Dowling	Greg Dowling	Greg Dowling
Hooker	Greg Conescu	Greg Conescu	Greg Conescu	Greg Conescu
Prop	Martin Bella	Martin Bella	Bryan Niebling	Bryan Niebling
Second Row	Trevor Gillmeister	Trevor Gillmeister	Trevor Gillmeister	Trevor Gillmeister
Second Row	Paul Vautin	Paul Vautin	Paul Vautin	Paul Vautin
Lock	Ian French	Bob Lindner	Bob Lindner	Bob Lindner
Replacement	Colin Scott	Tony Currie	Tony Currie	Colin Scott
Replacement	Gary Smith	Ian French	Ian French	Ian French
Coach	Wayne Bennett	Wayne Bennett	Wayne Bennett	Wayne Bennett
