Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
23	1	"Community"	Kevin Dowling	William N. Fordes	September22,2006	3T5951	11.94
24	2	"A House Divided"	Matt Earl Beesley	Lindsay Jewett Sturman & Leo Geter	September29,2006	3T5952	11.06
25	3	"Truly, Madly, Deeply"	John Peters	Antoinette Stella	October6,2006	3T5953	11.61
26	4	"Deacon"	Lewis H. Gould	Tom Smuts	October13,2006	3T5954	10.95
27	5	"Legacy"	Charles Beeson	William N. Fordes & Alison McDonald	October20,2006	3T5956	11.12
28	6	"Homecoming"	Janice Cooke Leonard	Elwood Reid	October27,2006	3T5955	10.83
29	7	"Silent Auction"	Kevin Dowling	Lindsay Sturman & Antoinette Stella	November3,2006	3T5957	11.08
30	8	"There's Something About Martha"	Charles Beeson	Leo Geter	November10,2006	3T5958	11.38
31	9	"Shoot to Kill"	Jeffrey G. Hunt	Jeremy R. Litman	November17,2006	3T5959	10.56
32	10	"A Father's Story"	Mike Rohl	Elwood Reid	November24,2006	3T5960	10.06
33	11	"Prodigal Son"	Anthony Hemingway	Antoinette Stella & William N. Fordes	December15,2006	3T5961	9.65
34	12	"Road Rage"	Joseph Berger Davis	Deidre Shaw & Tom Smuts	January5,2007	3T5962	11.56
35	13	"Getting In"	Kevin Dowling	Lindsay Jewett Sturman & Nikki Toscano	January12,2007	3T5963	10.38
36	14	"Hoosier Hold 'Em"	Dermott Downs	Leo Geter	February9,2007	3T5964	10.46
37	15	"Barren"	Steve Boyum	Jami O'Brien & Teresa Huggins	February16,2007	3T5965	10.34
38	16	"Internet Bride"	Tawnia McKiernan	Antoinette Stella & Mark Rosner	February23,2007	3T5966	10.10
39	17	"Protégé"	Matt Earl Beesley	Steve Lichtman	March9,2007	3T5967	9.62
40	18	"Making Amends"	Jeffrey G. Hunt	Alison McDonald	March30,2007	3T5968	9.65
41	19	"Maternal Instinct"	Lewis H. Gould	Hannah Shakespeare	April6,2007	3T5969	10.82
42	20	"Drink the Cup"	Christopher Leitch	Tom Smuts	April27,2007	3T5970	9.17
