Week	Date	Opponent	Result	Attendance
1	September 1, 1991	at Green Bay Packers	W 20–3	58,991
2	September 8, 1991	Phoenix Cardinals	L 26–10	63,818
3	September 15, 1991	at Dallas Cowboys	W 24–0	62,656
4	September 22, 1991	Pittsburgh Steelers	W 23–14	65,511
5	September 30, 1991	at Washington Redskins	L 23–0	55,198
6	October 6, 1991	at Tampa Bay Buccaneers	L 14–13	41,219
7	October 13, 1991	New Orleans Saints	L 13–6	64,224
8	Bye	Bye	Bye	Bye
9	October 27, 1991	San Francisco 49ers	L 23–7	65,796
10	November 4, 1991	New York Giants	W 30–7	65,816
11	November 10, 1991	at Cleveland Browns	W 32–30	72,086
12	November 17, 1991	Cincinnati Bengals	W 17–10	63,189
13	November 24, 1991	at Phoenix Cardinals	W 34–14	37,307
14	December 2, 1991	at Houston Oilers	W 13–6	62,141
15	December 8, 1991	at New York Giants	W 19–14	76,099
16	December 15, 1991	Dallas Cowboys	L 25–13	65,854
17	December 22, 1991	Washington Redskins	W 24–22	58,988
