Rnd	Circuit	Location	Date	Pole position	Fastest lap	Winning driver	Winning team	Supporting
1	Streets of St. Petersburg	St. Petersburg, Florida	March 26	Martin Scuncio	Connor De Phillippi	Connor De Phillippi	Team Pelfrey	IndyCar Series
2	Barber Motorsports Park	Birmingham, Alabama	April 10	Tristan Vautier	Tristan Vautier	Tristan Vautier	JDC MotorSports	IndyCar Series
3	Lucas Oil Raceway at Indianapolis	Clermont, Indiana	May 28	Connor De Phillippi	Nick Andries	Connor De Phillippi	Team Pelfrey	USAC Midgets
4	Milwaukee Mile	West Allis, Wisconsin	June 19	Nick Andries	Sage Karam	Sage Karam	Andretti Autosport	IndyCar Series
5	Iowa Speedway	Newton, Iowa	June 25	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	IndyCar Series
6	Mosport International Raceway	Bowmanville, Ontario	July 24	Sage Karam	Nick Andries	João Victor Horto	Juncos Racing	American Le Mans Series
7	Circuit Trois-Rivières	Trois-Rivières , Quebec	August 6	Tristan Vautier	Tristan Vautier	Tristan Vautier	JDC MotorSports	Firestone Indy Lights
8	Circuit Trois-Rivières	Trois-Rivières , Quebec	August 7	Tristan Vautier	Connor De Phillippi	Connor De Phillippi	Team Pelfrey	Firestone Indy Lights
9	Infineon Raceway	Sonoma, California	August 27	Tristan Vautier	Tristan Vautier	Tristan Vautier	JDC MotorSports	IndyCar Series
10	Streets of Baltimore	Baltimore , Maryland	September 4	Tristan Vautier	Tristan Vautier	Tristan Vautier	JDC MotorSports	IndyCar Series
