Week	Date	Opponent	Result	Attendance
1	September 29, 1946	Pittsburgh Steelers	T 14-14	33,620
2	October 6, 1946	Detroit Lions	W 17-16	33,569
3	October 13, 1946	New York Giants	W 24-14	33,651
4	October 20, 1946	at Boston Yanks	W 14-6	24,357
5	October 27, 1946	Philadelphia Eagles	L 28-24	33,691
6	November 3, 1946	at Pittsburgh Steelers	L 14-7	39,060
7	November 10, 1946	Boston Yanks	W 17-14	33,691
8	November 17, 1946	at Chicago Bears	L 24-20	43,315
9	November 24, 1946	at Philadelphia Eagles	W 27-10	36,366
10	December 1, 1946	Green Bay Packers	L 20-7	33,691
11	December 8, 1946	at New York Giants	L 31-0	60,337
