Original title	Title in English	Genre	Role	Directed by
Petőfi '73 (Hungarian)	Petőfi '73	Feature film	Protagonist	Ferenc Kardos
Mozart és Salieri (Hungarian)	Mozart and Salieri	Feature film	Title character	András Surányi
Le dernier métro (French)	The Last Metro	Feature film	Episode actor	François Truffaut
Redl ezredes (Hungarian)	Colonel Redl	Feature film	Episode actor	István Szabó
Erőltetett menet (American-Hungarian)	Forced March	Feature film	Episode actor	Nick Rice
Eszterkönyv (Hungarian)	Eszter-book	Feature film	Episode actor	Krisztina Deák
Malina (Ger.-Aus.-Fr.)	Malina	Feature film	Protagonist	Werner Schröter
Zsötem (Hungarian)	Zsötem	Feature film	Episode actor	András Salamon
Blue Exile (Ger.-Tur.-Greek)	Blue Exile	Feature film	Protagonist	Kiral Erden
Bir Sonbahar Hikayesi (Turkish)	An Autumn Story	Feature film	Progatonist	Yavuz Özkan
Franciska vasárnapjai (Hungarian)	The Sundays of Franciska	Feature film	Episode actor	Sándor Simó
Fosforlu Cevriye (Turkish)	Fosforlu Cevriye	TV film	Protagonist	Mustafa Altioklar
A Hídember (Hungarian)	The Bridgeman	Feature film	Episode actor	Géza Bereményi
Sniper 2 (American)	Sniper 2	Feature film	Episode actor	Craig R. Baxley
Rózsadomb (Ger.-Hun)	Rosemound	Feature film	Episode actor	Mari Cantu
