Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Monaco Grand Prix	Monaco	22 May	Jim Clark	Lorenzo Bandini	Jackie Stewart	BRM	D	Report
Belgian Grand Prix	Spa-Francorchamps	12 June	John Surtees	John Surtees	John Surtees	Ferrari	D	Report
French Grand Prix	Reims	3 July	Lorenzo Bandini	Lorenzo Bandini	Jack Brabham	Brabham - Repco	G	Report
British Grand Prix	Brands Hatch	16 July	Jack Brabham	Jack Brabham	Jack Brabham	Brabham - Repco	G	Report
Dutch Grand Prix	Zandvoort	24 July	Jack Brabham	Denny Hulme	Jack Brabham	Brabham - Repco	G	Report
German Grand Prix	Nürburgring	7 August	Jim Clark	John Surtees	Jack Brabham	Brabham - Repco	G	Report
Italian Grand Prix	Monza	4 September	Mike Parkes	Ludovico Scarfiotti	Ludovico Scarfiotti	Ferrari	F	Report
United States Grand Prix	Watkins Glen	2 October	Jack Brabham	John Surtees	Jim Clark	Lotus - BRM	F	Report
Mexican Grand Prix	Hermanos Rodriguez	23 October	John Surtees	Richie Ginther	John Surtees	Cooper - Maserati	D	Report
