No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
24	1	"Redemption"	Chris Long	Bruno Heller	September24,2009	3X5351	15.07
25	2	"The Scarlet Letter"	Charles Beeson	Tom Szentgyorgyi	October1,2009	3X5352	15.75
26	3	"Red Badge"	Eric Laneuville	Ashley Gable	October8,2009	3X5353	14.70
27	4	"Red Menace"	Norberto Barba	Leonard Dick	October15,2009	3X5354	15.08
28	5	"Red Scare"	Lesli Linka Glatter	Ken Woodruff	October29,2009	3X5355	15.53
29	6	"Black Gold and Red Blood"	Rod Hardy	Bruno Heller	November5,2009	3X5356	16.21
30	7	"Red Bulls"	David M. Barrett	Tom Szentgyorgyi	November12,2009	3X5358	16.17
31	8	"His Red Right Hand"	Chris Long	Ashley Gable	November19,2009	3X5359	15.85
32	9	"A Price Above Rubies"	Charles Beeson	Eoghan Mahony	December10,2009	3X5360	16.37
33	10	"Throwing Fire"	Martha Mitchell	John Mankiewicz	December17,2009	3X5357	15.77
34	11	"Rose-Colored Glasses"	Dan Lerner	Leonard Dick	January14,2010	3X5361	15.38
35	12	"Bleeding Heart"	Norberto Barba	Erika Green Swafford	January21,2010	3X5362	14.56
36	13	"Redline"	Bill D'Elia	Jordan Harper	February4,2010	3X5363	14.68
37	14	"Blood In, Blood Out"	John Polson	Ken Woodruff	February11,2010	3X5364	15.86
38	15	"Red Herring"	Eric Laneuville	David Appelbaum	March4,2010	3X5365	14.87
39	16	"Code Red"	John F. Showalter	Bruno Heller	March11,2010	3X5366	16.02
40	17	"The Red Box"	Chris Long	John Mankiewicz	April1,2010	3X5367	14.11
41	18	"Aingavite Baa"	Stephen Gyllenhaal	Tom Szentgyorgyi & Erika Green Swafford	April8,2010	3X5368	16.32
42	19	"Blood Money"	Adam Kane	Ashley Gable & Jordan Harper	April22,2010	3X5369	14.96
43	20	"Red All Over"	Roxann Dawson	Carolyn Ingber	April29,2010	3X5370	14.84
44	21	"18-5-4"	Charles Beeson	Leonard Dick & Ken Woodruff	May6,2010	3X5371	14.85
45	22	"Red Letter"	John F. Showalter	Eoghan Mahony	May13,2010	3X5372	14.84
