No. in series	No. in season	Title	Directed by	Written by	Featured character(s)	Original air date	U.S. viewers (million)
73	1	" The Beginning of the End "	Jack Bender	Damon Lindelof & Carlton Cuse	Hurley	January31,2008	16.07
74	2	" Confirmed Dead "	Stephen Williams	Drew Goddard & Brian K. Vaughan	Faraday , Charlotte , Miles , Frank , Naomi	February7,2008	15.06
75	3	" The Economist "	Jack Bender	Edward Kitsis & Adam Horowitz	Sayid	February14,2008	13.62
76	4	" Eggtown "	Stephen Williams	Elizabeth Sarnoff & Greggory Nations	Kate	February21,2008	13.53
77	5	" The Constant "	Jack Bender	Carlton Cuse & Damon Lindelof	Desmond	February28,2008	12.85
78	6	" The Other Woman "	Eric Laneuville	Drew Goddard & Christina M. Kim	Juliet	March6,2008	12.90
79	7	" Ji Yeon "	Stephen Semel	Edward Kitsis & Adam Horowitz	Sun & Jin	March13,2008	11.87
80	8	" Meet Kevin Johnson "	Stephen Williams	Elizabeth Sarnoff & Brian K. Vaughan	Michael	March20,2008	11.28
81	9	" The Shape of Things to Come "	Jack Bender	Brian K. Vaughan & Drew Goddard	Ben	April24,2008	12.33
82	10	" Something Nice Back Home "	Stephen Williams	Edward Kitsis & Adam Horowitz	Jack	May1,2008	11.14
83	11	" Cabin Fever "	Paul Edwards	Elizabeth Sarnoff & Kyle Pennington	Locke	May8,2008	11.28
84	12	" There's No Place Like Home (Part 1) "	Stephen Williams	Damon Lindelof & Carlton Cuse	Jack, Hurley, Sayid, Sun, Kate	May15,2008	11.40
