Pick	Player	Team	Position	School
1	Matt Anderson	Detroit Tigers	P	Rice University
2	J.D. Drew	Philadelphia Phillies	OF	Florida State University
3	Troy Glaus	Anaheim Angels	3B , P	UCLA
4	Jason Grilli	San Francisco Giants	P	Seton Hall University
5	Vernon Wells	Toronto Blue Jays	OF	Bowie HS (Arlington, Texas)
6	Geoff Goetz	New York Mets	P	Jesuit HS (Tampa, Florida)
7	Dan Reichert	Kansas City Royals	P	University of the Pacific
8	J.J. Davis	Pittsburgh Pirates	OF	Baldwin Park HS (Pomona, California)
9	Michael Cuddyer	Minnesota Twins	SS , P	Great Bridge HS (Chesapeake, Virginia)
10	Jon Garland	Chicago Cubs	P	Kennedy HS (Granada Hills, California)
11	Chris Enochs	Oakland Athletics	P	West Virginia University
12	Aaron Akin	Florida Marlins	P	Cowley County Community College
13	Kyle Peterson	Milwaukee Brewers	P	Stanford University
14	Brandon Larson	Cincinnati Reds	SS	Louisiana State University
15	Jason Dellaero	Chicago White Sox	SS , P	University of South Florida
16	Lance Berkman	Houston Astros	1B	Rice University
17	John Curtice	Boston Red Sox	P	Great Bridge HS (Chesapeake, Virginia)
18	Mark Mangum	Colorado Rockies	P	Kingwood HS (Kingwood, Texas)
19	Ryan Anderson	Seattle Mariners	P	Divine Child HS (Westland, Michigan)
20	Adam Kennedy	St. Louis Cardinals	SS	Cal State Northridge University
21	Eric DuBose	Oakland Athletics	P	Mississippi State University
22	Jayson Werth	Baltimore Orioles	C , OF	Glenwood HS (Chatham, Illinois)
23	Donnie Bridges	Montreal Expos	P	Oak Grove HS (Hattiesburg, Mississippi)
24	Tyrell Godwin	New York Yankees	OF	East Bladen HS (Elizabethtown, North Carolina)
25	Glenn Davis	Los Angeles Dodgers	1B	Vanderbilt University
26	Darnell McDonald	Baltimore Orioles	OF	Cherry Creek HS (Englewood, Colorado)
27	Kevin Nicholson	San Diego Padres	SS	Stetson University
28	Tim Drew	Cleveland Indians	P , OF	Lowndes County HS (Valdosta, Georgia)
29	Troy Cameron	Atlanta Braves	SS	St. Thomas Aquinas HS (Fort Lauderdale, Florida)
30	Jack Cust	Arizona Diamondbacks	1B	Immaculata HS (Somerville, New Jersey)
31	Jason Standridge	Tampa Bay Devil Rays	P	Hewitt-Trussville HS (Trussville, AL)
